name,steamid,team_name,kills,assists,deaths,headshots,hs_%,k/d,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
SunPayus,76561198309839541,HEROIC,10,12,21,4,40,0.47619,80.0,50.066666,0.333333,0.7,2.6,1502,156,78,0,1,1,10,8,1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,24,3,21,10,41,1.142857,76.666664,72.466667,0.8,0.7,5.6,2174,515,168,5,5,7,5,9,3,3,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,33,5,17,19,57,1.941176,80.0,98.966667,1.1,0.566667,3.766667,2969,454,113,3,2,5,4,10,5,3,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,27,8,22,13,48,1.227273,70.0,96.433334,0.9,0.733333,7.266667,2893,583,218,2,4,9,1,5,8,2,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,26,1,20,13,50,1.3,76.666664,86.866669,0.866667,0.666667,5.366667,2606,423,161,3,2,4,5,9,5,1,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,17,12,23,8,47,0.73913,70.0,61.933334,0.566667,0.766667,7.1,1858,231,213,2,2,7,2,10,2,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,19,4,21,13,68,0.904762,80.0,66.366669,0.633333,0.7,6.966667,1991,366,209,5,1,6,6,15,2,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,11,7,21,6,54,0.52381,66.666672,66.066666,0.366667,0.7,4.266667,1982,286,128,3,5,1,8,9,1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,17,6,21,8,47,0.809524,70.0,61.733334,0.566667,0.7,3.4,1852,276,102,3,3,4,4,6,4,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,23,7,20,16,69,1.15,83.333328,87.699997,0.766667,0.666667,2.133333,2631,371,64,4,5,2,9,9,5,0,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,Team A,16,4,16,8,50,1.0,56.521736,60.47826,0.695652,0.695652,2.130435,1391,236,49,2,5,4,3,5,1,3,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,Team A,16,4,16,7,43,1.0,78.260872,65.260872,0.695652,0.695652,0.0,1501,65,0,2,1,5,4,6,2,2,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,Team A,12,4,17,5,41,0.705882,69.565216,67.739128,0.521739,0.73913,0.652174,1558,185,15,1,0,2,6,8,2,0,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
Maka,76561198045739761,Team B,20,8,13,11,55,1.538462,86.95652,96.869568,0.869565,0.565217,8.086957,2228,265,186,7,3,1,3,8,3,2,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,Team A,9,6,17,1,11,0.529412,78.260872,50.565216,0.391304,0.73913,2.565217,1163,274,59,0,5,3,6,5,2,0,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,Team A,18,7,18,11,61,1.0,73.91304,106.826088,0.782609,0.782609,13.391304,2457,344,308,2,5,5,3,10,1,2,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,Team B,15,5,15,9,60,1.0,82.608696,71.217392,0.652174,0.652174,1.913043,1638,267,44,3,1,4,6,9,0,2,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,Team B,11,1,15,9,81,0.733333,86.95652,50.347828,0.478261,0.652174,0.347826,1158,153,8,0,0,3,8,7,2,0,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,Team B,17,10,13,11,64,1.307692,86.95652,97.130432,0.73913,0.565217,14.913043,2234,272,343,0,1,5,3,11,1,0,1,0,409bde782d701247,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,Team B,21,4,15,10,47,1.4,86.95652,80.304344,0.913043,0.652174,2.826087,1847,304,65,6,2,3,0,8,2,3,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
