name,steamid,team_name,kills,assists,deaths,headshots,hs_%,k/d,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
yxngstxr,76561199137143905,HEROIC,12,2,13,5,41,0.923077,76.190475,50.619049,0.571429,0.619048,2.904762,1063,182,61,2,3,1,2,4,4,0,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,14,5,12,6,42,1.166667,80.952385,72.904762,0.666667,0.571429,1.333333,1531,116,28,1,1,2,3,5,3,1,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,13,9,14,9,69,0.928571,80.952385,77.571426,0.619048,0.666667,3.0,1629,224,63,2,0,1,5,7,1,0,1,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,16,3,12,9,56,1.333333,71.428574,81.190475,0.761905,0.571429,2.0,1705,295,42,0,0,6,1,5,1,3,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,11,4,16,5,45,0.6875,57.14286,57.57143,0.52381,0.761905,2.571429,1209,148,54,2,4,3,2,4,0,1,1,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,11,6,13,5,45,0.846154,76.190475,51.333332,0.52381,0.619048,14.809524,1078,204,311,1,1,3,4,7,2,0,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,14,4,18,8,57,0.777778,71.428574,72.809525,0.666667,0.857143,2.285714,1529,175,48,3,4,3,5,9,1,1,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,13,8,13,2,15,1.0,85.714287,68.714287,0.619048,0.619048,0.666667,1443,282,14,4,5,2,5,8,1,1,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,19,3,14,8,42,1.357143,76.190475,95.714287,0.904762,0.666667,6.0,2010,361,126,4,1,3,3,4,4,1,1,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,15,6,13,8,53,1.153846,76.190475,82.285713,0.714286,0.619048,2.857143,1728,239,60,2,2,5,2,12,0,1,0,0,c92c0fe937a29b0e,BLAST Bounty 2025 Season 1
Staehr,76561198005107817,Astralis,20,4,18,8,40,1.111111,75.0,65.166664,0.833333,0.75,3.291667,1564,236,79,2,3,9,3,7,3,1,1,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
jL,76561198176878303,Natus Vincere NAVI,21,6,16,10,47,1.3125,75.0,79.875,0.875,0.666667,10.125,1917,510,243,1,1,7,3,7,1,4,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
jabbi,76561198120557348,Astralis,17,7,16,8,47,1.0625,79.166672,72.708336,0.708333,0.666667,9.458333,1745,402,227,1,3,3,6,10,2,1,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
iM,76561198050250233,Natus Vincere NAVI,21,3,16,8,38,1.3125,79.166672,71.708336,0.875,0.666667,0.708333,1721,269,17,2,2,7,3,11,2,2,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
b1t,76561198246607476,Natus Vincere NAVI,17,8,18,14,82,0.944444,79.166672,94.666664,0.708333,0.75,4.666667,2272,426,112,5,1,5,3,7,5,0,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
stavn,76561198022365638,Astralis,12,10,20,5,41,0.6,75.0,69.25,0.5,0.833333,13.083333,1662,392,314,2,2,2,8,6,3,0,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
cadiaN,76561198004115516,Astralis,8,6,15,1,12,0.533333,70.833328,52.083332,0.333333,0.625,11.875,1250,350,285,0,4,3,4,4,2,0,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
w0nderful,76561199063068840,Natus Vincere NAVI,15,7,19,6,40,0.789474,70.833328,72.125,0.625,0.791667,0.291667,1731,160,7,4,6,2,6,8,4,0,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
Aleksib,76561198013243326,Natus Vincere NAVI,10,13,18,4,40,0.555556,87.5,64.708336,0.416667,0.75,1.5,1553,317,36,2,0,1,10,6,2,0,0,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
dev1ce,76561197987713664,Astralis,29,7,16,16,55,1.8125,87.5,127.375,1.208333,0.666667,8.708333,3057,368,209,5,2,4,3,7,4,2,2,0,e404f30b9dc3e185,BLAST Bounty 2025 Season 1
iM,76561198050250233,Natus Vincere NAVI,13,3,9,5,38,1.444444,78.947372,58.105263,0.684211,0.473684,0.0,1104,154,0,1,0,2,1,9,2,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
Aleksib,76561198013243326,Natus Vincere NAVI,9,6,12,2,22,0.75,73.684212,62.0,0.473684,0.631579,2.684211,1178,218,51,3,2,0,2,7,1,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
b1t,76561198246607476,Natus Vincere NAVI,20,8,9,12,60,2.222222,73.684212,116.157898,1.052632,0.473684,11.157895,2207,370,212,7,0,1,2,4,5,2,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
jL,76561198176878303,Natus Vincere NAVI,12,7,10,8,66,1.2,73.684212,72.315788,0.631579,0.526316,7.0,1374,193,133,2,2,2,0,10,1,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
dev1ce,76561197987713664,Astralis,6,0,12,0,0,0.5,47.368423,29.789474,0.315789,0.631579,2.473684,566,59,47,0,3,3,1,4,1,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
stavn,76561198022365638,Astralis,16,5,15,8,50,1.066667,78.947372,89.421051,0.842105,0.789474,11.0,1699,281,209,2,1,4,3,8,4,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
cadiaN,76561198004115516,Astralis,8,4,14,4,50,0.571429,63.15789,60.263157,0.421053,0.736842,8.315789,1145,249,158,0,6,2,1,4,2,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
w0nderful,76561199063068840,Natus Vincere NAVI,12,5,10,3,25,1.2,68.421051,69.0,0.631579,0.526316,1.263158,1311,100,24,2,0,0,2,6,3,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
Staehr,76561198005107817,Astralis,13,5,13,11,84,1.0,68.421051,82.368423,0.684211,0.684211,3.578947,1565,264,68,2,1,1,5,2,6,0,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
jabbi,76561198120557348,Astralis,6,8,13,5,83,0.461538,63.15789,57.263157,0.315789,0.684211,2.368421,1088,208,45,0,4,1,2,3,0,1,0,0,339f817fc0609ea4,BLAST Bounty 2025 Season 1
susp,76561198342718168,Wildcard,13,3,18,6,46,0.722222,71.428574,71.85714,0.619048,0.857143,0.428571,1509,256,9,2,4,2,7,7,3,0,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
stanislaw,76561197981849043,Wildcard,9,3,13,3,33,0.692308,71.428574,64.047623,0.428571,0.619048,11.523809,1345,307,242,1,2,5,2,9,0,0,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
JBa,76561198184153575,Wildcard,9,3,15,5,55,0.6,71.428574,49.380951,0.428571,0.714286,2.476191,1037,161,52,0,2,4,4,7,1,0,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
Sonic,76561197975129851,Wildcard,15,5,17,9,60,0.882353,76.190475,75.761902,0.714286,0.809524,2.428571,1591,250,51,4,1,3,2,7,1,2,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
phzy,76561198408199043,Wildcard,12,5,19,6,50,0.631579,52.380955,68.14286,0.571429,0.904762,3.952381,1431,110,83,3,2,1,2,7,1,1,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
jabbi,76561198120557348,Astralis,14,3,12,9,64,1.166667,71.428574,67.666664,0.666667,0.571429,6.619048,1421,175,139,4,3,4,2,4,5,0,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
cadiaN,76561198004115516,Astralis,13,11,11,5,38,1.181818,80.952385,68.85714,0.619048,0.52381,13.952381,1446,368,293,1,4,3,3,5,4,0,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
Staehr,76561198005107817,Astralis,13,8,12,5,38,1.083333,80.952385,71.85714,0.619048,0.571429,4.857143,1509,166,102,1,2,3,5,9,2,0,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
stavn,76561198022365638,Astralis,15,5,13,6,40,1.153846,85.714287,83.761902,0.714286,0.619048,9.714286,1759,315,204,3,1,3,6,12,0,1,0,0,fce806f201778c31,BLAST Bounty 2025 Season 1
dev1ce,76561197987713664,Astralis,27,7,10,7,25,2.7,80.952385,130.142853,1.285714,0.47619,14.523809,2733,336,305,2,0,5,3,7,1,2,3,0,fce806f201778c31,BLAST Bounty 2025 Season 1
phzy,76561198408199043,Team A,12,2,14,4,33,0.857143,55.555557,81.5,0.666667,0.777778,2.666667,1467,244,48,2,2,3,1,4,2,0,1,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
stanislaw,76561197981849043,Team A,7,3,15,3,42,0.466667,72.222221,47.888889,0.388889,0.833333,7.166667,862,128,129,1,1,0,3,5,1,0,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
jabbi,76561198120557348,Team B,15,1,7,9,60,2.142857,77.777779,80.277779,0.833333,0.388889,0.0,1445,209,0,0,2,0,2,5,2,2,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
susp,76561198342718168,Team A,8,4,17,2,25,0.470588,61.111111,57.722221,0.444444,0.944444,3.555556,1039,196,64,1,5,1,5,4,2,0,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
stavn,76561198022365638,Team B,16,5,7,9,56,2.285714,88.888893,96.666664,0.888889,0.388889,4.611111,1740,230,83,5,0,1,1,8,4,0,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
Sonic,76561197975129851,Team A,3,4,18,1,33,0.166667,33.333336,40.666668,0.166667,1.0,3.833333,732,108,69,0,5,1,2,3,0,0,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
cadiaN,76561198004115516,Team B,15,6,8,7,46,1.875,83.333328,75.055557,0.833333,0.444444,5.888889,1351,133,106,3,1,2,1,5,2,2,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
dev1ce,76561197987713664,Team B,13,6,10,5,38,1.3,77.777779,80.611115,0.722222,0.555556,6.944445,1451,226,125,3,1,1,3,8,1,1,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
JBa,76561198184153575,Team A,13,1,14,5,38,0.928571,55.555557,81.166664,0.722222,0.777778,1.277778,1461,260,23,0,1,6,1,3,2,2,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
Staehr,76561198005107817,Team B,19,9,11,10,52,1.727273,88.888893,114.888885,1.055556,0.611111,7.222222,2068,339,130,3,0,4,2,9,5,0,0,0,433e792f292e65d9,BLAST Bounty 2025 Season 1
Krimbo,76561198170631091,BIG CS2,15,5,9,11,73,1.666667,85.714287,71.571426,0.714286,0.428571,1.571429,1503,175,33,1,1,1,4,8,2,1,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
hyped,76561198139604328,BIG CS2,13,7,11,3,23,1.181818,66.666672,63.952381,0.619048,0.52381,2.571429,1343,210,54,1,2,4,1,5,2,0,1,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
JDC,76561198078771373,BIG CS2,20,3,14,13,65,1.428571,71.428574,91.285713,0.952381,0.666667,3.523809,1917,172,74,2,2,3,1,4,5,2,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
HeavyGod,76561198068002993,G2 Esports CS2,12,5,14,6,50,0.857143,85.714287,71.14286,0.571429,0.666667,8.523809,1494,305,179,2,2,3,3,8,2,0,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
tabseN,76561197961491680,BIG CS2,11,8,15,6,54,0.733333,76.190475,76.904762,0.52381,0.714286,12.190476,1615,294,256,2,6,2,3,6,1,1,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
kyuubii,76561198144926364,BIG CS2,16,8,14,10,62,1.142857,76.190475,80.809525,0.761905,0.666667,4.428571,1697,248,93,4,0,1,4,9,2,1,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
malbsMd,76561198080703143,G2 Esports CS2,19,5,14,12,63,1.357143,71.428574,92.14286,0.904762,0.666667,8.476191,1935,404,178,6,3,4,0,8,4,1,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
Snax,76561197982141573,G2 Esports CS2,9,6,17,3,33,0.529412,57.14286,58.57143,0.428571,0.809524,11.238095,1230,158,236,1,2,4,2,5,2,0,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
huNter,76561198012872053,G2 Esports CS2,13,3,16,7,53,0.8125,61.904762,72.380951,0.619048,0.761905,5.142857,1520,322,108,2,2,0,4,6,2,1,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
m0NESY,76561198074762801,G2 Esports CS2,10,6,14,4,40,0.714286,71.428574,47.238094,0.47619,0.666667,8.380953,992,162,176,0,1,2,4,4,3,0,0,0,c32b2a8cd3336bee,BLAST Bounty 2025 Season 1
malbsMd,76561198080703143,G2 Esports CS2,21,3,17,16,76,1.235294,72.727272,95.954544,0.954545,0.772727,2.0,2111,367,44,6,3,5,3,11,3,0,1,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
kyuubii,76561198144926364,BIG CS2,13,2,17,8,61,0.764706,63.636364,69.0,0.590909,0.772727,4.954545,1518,234,109,2,1,7,2,9,2,0,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
Krimbo,76561198170631091,BIG CS2,12,12,14,3,25,0.857143,81.818184,69.954544,0.545455,0.636364,5.409091,1539,195,119,2,4,0,4,4,4,0,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
HeavyGod,76561198068002993,G2 Esports CS2,14,6,11,4,28,1.272727,90.909096,77.954544,0.636364,0.5,4.363636,1715,249,96,2,1,1,5,9,1,1,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
huNter,76561198012872053,G2 Esports CS2,18,3,13,6,33,1.384615,68.181816,71.272728,0.818182,0.590909,6.5,1568,244,143,2,0,3,3,4,4,2,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
hyped,76561198139604328,BIG CS2,20,3,14,4,20,1.428571,86.36364,80.5,0.909091,0.636364,1.0,1771,68,22,3,1,5,4,9,4,1,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
m0NESY,76561198074762801,G2 Esports CS2,14,7,13,3,21,1.076923,68.181816,59.227272,0.636364,0.590909,10.727273,1303,151,236,1,3,3,2,3,1,3,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
tabseN,76561197961491680,BIG CS2,15,1,14,8,53,1.071429,68.181816,62.863636,0.681818,0.636364,5.545455,1383,235,122,3,3,5,2,8,2,1,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
JDC,76561198078771373,BIG CS2,8,6,18,5,62,0.444444,68.181816,62.227272,0.363636,0.818182,2.0,1369,212,44,0,3,2,7,6,1,0,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
Snax,76561197982141573,G2 Esports CS2,10,7,14,2,20,0.714286,77.272728,63.136364,0.454545,0.636364,5.090909,1389,166,112,1,3,1,1,6,2,0,0,0,54bbdcd43f4bf674,BLAST Bounty 2025 Season 1
tabseN,76561197961491680,BIG CS2,15,4,16,6,40,0.9375,65.0,72.349998,0.75,0.8,8.75,1447,217,175,1,5,3,0,6,3,1,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
malbsMd,76561198080703143,G2 Esports CS2,16,4,15,9,56,1.066667,80.0,91.550003,0.8,0.75,8.3,1831,291,166,2,1,2,7,10,3,0,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
Snax,76561197982141573,G2 Esports CS2,12,6,12,5,41,1.0,80.0,72.900002,0.6,0.6,4.8,1458,143,96,3,2,3,4,5,2,1,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
Krimbo,76561198170631091,BIG CS2,8,5,15,4,50,0.533333,60.000004,53.299999,0.4,0.75,0.6,1066,144,12,0,1,2,3,4,2,0,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
m0NESY,76561198074762801,G2 Esports CS2,16,12,10,7,43,1.6,90.0,82.050003,0.8,0.5,3.95,1641,126,79,4,1,2,2,9,2,1,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
hyped,76561198139604328,BIG CS2,7,2,18,2,28,0.388889,55.0,39.450001,0.35,0.9,0.5,789,40,10,0,2,3,4,5,1,0,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
HeavyGod,76561198068002993,G2 Esports CS2,22,4,6,15,68,3.666667,90.0,100.349998,1.1,0.3,2.2,2007,281,44,3,0,6,2,2,7,2,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
huNter,76561198012872053,G2 Esports CS2,14,4,13,6,42,1.076923,75.0,72.550003,0.7,0.65,11.95,1451,193,239,1,3,4,5,6,2,0,1,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
kyuubii,76561198144926364,BIG CS2,12,4,15,8,66,0.8,80.0,73.5,0.6,0.75,7.7,1470,297,154,2,2,3,6,8,2,0,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
JDC,76561198078771373,BIG CS2,14,7,16,11,78,0.875,80.0,92.0,0.7,0.8,8.75,1840,337,175,4,3,3,3,7,2,1,0,0,4a9b2a2d938bff82,BLAST Bounty 2025 Season 1
JT,76561198021715100,ComplexityCS,13,3,17,6,46,0.764706,69.565216,67.869568,0.565217,0.73913,0.652174,1561,222,15,4,4,3,1,7,3,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
nicx,76561198410085211,ComplexityCS,12,1,18,6,50,0.666667,60.869564,61.52174,0.521739,0.782609,2.304348,1415,156,53,1,1,1,5,5,2,1,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
hallzerk,76561198060367310,ComplexityCS,13,4,12,3,23,1.083333,73.91304,69.565216,0.565217,0.521739,0.043478,1600,95,1,5,0,2,0,5,4,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
Grim,76561198191236195,ComplexityCS,20,4,13,10,50,1.538462,86.95652,86.434784,0.869565,0.565217,1.869565,1988,181,43,2,1,6,5,9,2,1,1,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
FL1T,76561197995817501,V.P.,13,5,12,5,38,1.083333,78.260872,61.608696,0.565217,0.521739,7.130435,1417,341,164,2,2,2,3,11,1,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
FL4MUS,76561198014259134,V.P.,19,8,12,15,78,1.583333,78.260872,94.608696,0.826087,0.521739,0.043478,2176,229,1,1,3,3,2,9,5,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
cxzi,76561198171719689,ComplexityCS,9,6,18,5,55,0.5,60.869564,58.652172,0.391304,0.782609,2.173913,1349,192,50,2,3,2,3,6,2,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
electroNic,76561198044045107,V.P.,14,7,17,11,78,0.823529,69.565216,64.95652,0.608696,0.73913,0.130435,1494,249,3,2,3,2,3,6,2,0,1,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
ICY,76561198055109028,V.P.,18,0,11,6,33,1.636364,78.260872,76.869568,0.782609,0.478261,2.521739,1768,117,58,2,3,3,1,12,3,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
fame,76561198080114546,V.P.,13,3,16,9,69,0.8125,60.869564,53.913044,0.565217,0.695652,0.478261,1240,172,11,2,3,1,3,7,3,0,0,0,4b803bde16fb75b,BLAST Bounty 2025 Season 1
FL1T,76561197995817501,V.P.,13,5,17,7,53,0.764706,73.91304,62.086956,0.565217,0.73913,9.565217,1428,229,220,1,2,3,4,8,1,1,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
JT,76561198021715100,ComplexityCS,12,5,17,9,75,0.705882,65.217392,55.086956,0.521739,0.73913,2.869565,1267,175,66,2,2,0,1,8,2,0,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
hallzerk,76561198060367310,ComplexityCS,19,6,18,11,57,1.055556,73.91304,99.391304,0.826087,0.782609,2.956522,2286,192,68,4,0,3,2,12,2,1,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
FL4MUS,76561198014259134,V.P.,19,6,15,15,78,1.266667,78.260872,96.608696,0.826087,0.652174,4.347826,2222,367,100,4,4,5,3,8,2,1,1,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
Grim,76561198191236195,ComplexityCS,14,6,19,6,42,0.736842,73.91304,69.347824,0.608696,0.826087,1.0,1595,258,23,6,4,1,3,4,5,0,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
fame,76561198080114546,V.P.,27,5,13,16,59,2.076923,82.608696,106.869568,1.173913,0.565217,8.391304,2458,424,193,2,1,5,3,5,6,2,1,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
electroNic,76561198044045107,V.P.,14,3,19,6,42,0.736842,78.260872,61.434784,0.608696,0.826087,2.130435,1413,274,49,3,4,3,9,8,3,0,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
cxzi,76561198171719689,ComplexityCS,15,4,15,7,46,1.0,65.217392,66.608696,0.652174,0.652174,3.086957,1532,156,71,0,1,2,2,8,2,1,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
nicx,76561198410085211,ComplexityCS,17,3,13,9,52,1.307692,69.565216,68.826088,0.73913,0.565217,0.782609,1583,224,18,1,3,4,2,7,5,0,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
ICY,76561198055109028,V.P.,9,4,13,5,55,0.692308,60.869564,48.173912,0.391304,0.565217,0.0,1108,90,0,0,2,3,1,2,2,1,0,0,cca2a16ad0db047a,BLAST Bounty 2025 Season 1
kyxsan,76561198057282432,Team-Falcons,6,5,14,4,66,0.428571,57.894737,59.894737,0.315789,0.736842,6.31579,1138,372,120,1,6,4,2,4,1,0,0,0,14efc1a4233d5731,BLAST Bounty 2025 Season 1
NiKo,76561198041683378,Team-Falcons,9,4,16,6,66,0.5625,57.894737,55.157894,0.473684,0.842105,11.105263,1048,243,211,2,5,2,5,3,3,0,0,0,14efc1a4233d5731,BLAST Bounty 2025 Season 1
XANTARES,76561198044118796,Eternal-Fire,16,9,12,6,37,1.333333,84.210526,98.789474,0.842105,0.631579,12.157895,1877,345,231,7,3,1,7,7,3,1,0,0,14efc1a4233d5731,BLAST Bounty 2025 Season 1
