name,team,match_checksum,tournament
Team Spirit,Team B,6defc9f121e256a4,BLAST Bounty 2025 Season 1
BetBoom Team,Team A,87783cacb1099e3b,BLAST Bounty 2025 Season 1
FURIA Esports_1,Team B,87783cacb1099e3b,BLAST Bounty 2025 Season 1
Team A,Team A,545e5b6c20f66b54,BLAST Bounty 2025 Season 1
Team B,Team B,545e5b6c20f66b54,BLAST Bounty 2025 Season 1
FURIA Esports_1,Team A,569a1128a75ef5ff,BLAST Bounty 2025 Season 1
BetBoom Team,Team B,569a1128a75ef5ff,BLAST Bounty 2025 Season 1
Nemiga,Team A,c7e2ef7f33c52a10,BLAST Bounty 2025 Season 1
FURIA Esports_1,Team B,c7e2ef7f33c52a10,BLAST Bounty 2025 Season 1
Nemiga,Team A,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
FURIA Esports_1,Team B,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
FURIA Esports_1,Team A,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
Nemiga,Team B,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
G2 Esports CS2,Team A,789873d5480b2d86,BLAST Bounty 2025 Season 1
[B8],Team B,789873d5480b2d86,BLAST Bounty 2025 Season 1
[B8],Team A,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
G2 Esports CS2,Team B,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
[B8],Team A,1aa317037186f7a3,BLAST Bounty 2025 Season 1
G2 Esports CS2,Team B,1aa317037186f7a3,BLAST Bounty 2025 Season 1
Liquid,Team A,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
HEROIC,Team B,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
Liquid,Team A,f92d463756d8334e,BLAST Bounty 2025 Season 1
HEROIC,Team B,f92d463756d8334e,BLAST Bounty 2025 Season 1
HEROIC,Team A,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
Liquid,Team B,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
Liquid,Team A,278e073a204c8dd0,BLAST Bounty 2025 Season 1
9Pandas,Team B,278e073a204c8dd0,BLAST Bounty 2025 Season 1
9Pandas,Team A,eb4903815cd684fd,BLAST Bounty 2025 Season 1
Liquid,Team B,eb4903815cd684fd,BLAST Bounty 2025 Season 1
MOUZ,Team A,8099f5bd95004f24,BLAST Bounty 2025 Season 1
BetBoom Team,Team B,8099f5bd95004f24,BLAST Bounty 2025 Season 1
Team A,Team A,d53f2850c300c053,BLAST Bounty 2025 Season 1
Team B,Team B,d53f2850c300c053,BLAST Bounty 2025 Season 1
MOUZ,Team A,fbf78c246823fe98,BLAST Bounty 2025 Season 1
BetBoom Team,Team B,fbf78c246823fe98,BLAST Bounty 2025 Season 1
Natus Vincere NAVI,Team A,4f4c3d9d0403aa1d,BLAST Bounty 2025 Season 1
Imperial Fe,Team B,4f4c3d9d0403aa1d,BLAST Bounty 2025 Season 1
Imperial Fe,Team A,ae43c12d258f7377,BLAST Bounty 2025 Season 1
Natus Vincere NAVI,Team B,ae43c12d258f7377,BLAST Bounty 2025 Season 1
FaZe.clan,Team A,1d595f30e2271da8,BLAST Bounty 2025 Season 1
paiN Gaming,Team B,1d595f30e2271da8,BLAST Bounty 2025 Season 1
paiN Gaming,Team A,b24037a3e9942c2a,BLAST Bounty 2025 Season 1
FaZe.clan,Team B,b24037a3e9942c2a,BLAST Bounty 2025 Season 1
Team A,Team A,1c84ce40cd34a0c4,BLAST Bounty 2025 Season 1
Team B,Team B,1c84ce40cd34a0c4,BLAST Bounty 2025 Season 1
GamerLegion,Team A,b8bd9df442017102,BLAST Bounty 2025 Season 1
paiN Gaming,Team B,b8bd9df442017102,BLAST Bounty 2025 Season 1
paiN Gaming,Team A,2632360dbef620f0,BLAST Bounty 2025 Season 1
GamerLegion,Team B,2632360dbef620f0,BLAST Bounty 2025 Season 1
Team A,Team A,73bb2a47403d34e5,BLAST Bounty 2025 Season 1
Team B,Team B,73bb2a47403d34e5,BLAST Bounty 2025 Season 1
BIG CS2,Team A,fa9fcdfe9c4fc7d1,BLAST Bounty 2025 Season 1
SAW,Team B,fa9fcdfe9c4fc7d1,BLAST Bounty 2025 Season 1
Team A,Team A,8738e4d8bcbc3539,BLAST Bounty 2025 Season 1
Team B,Team B,8738e4d8bcbc3539,BLAST Bounty 2025 Season 1
Team A,Team A,fe15b9d327fb1796,BLAST Bounty 2025 Season 1
Team B,Team B,fe15b9d327fb1796,BLAST Bounty 2025 Season 1
Team Vitality CS2,Team A,203387ea74a7261b,BLAST Bounty 2025 Season 1
V.P.,Team B,203387ea74a7261b,BLAST Bounty 2025 Season 1
Team Vitality CS2,Team A,e206729fcd4e0025,BLAST Bounty 2025 Season 1
V.P.,Team B,e206729fcd4e0025,BLAST Bounty 2025 Season 1
Team A,Team A,f5be5e4a4b5dfebe,BLAST Bounty 2025 Season 1
Team B,Team B,f5be5e4a4b5dfebe,BLAST Bounty 2025 Season 1
Metizport,Team A,11a3c7f1f45e0fee,BLAST Bounty 2025 Season 1
Team Vitality CS2,Team B,11a3c7f1f45e0fee,BLAST Bounty 2025 Season 1
Team Spirit,Team A,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team B,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team A,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
Team Spirit,Team B,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
Team Spirit,Team A,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team B,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team A,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
Team Spirit,Team B,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
Team A,Team A,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
Team B,Team B,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
BetBoom,Team A,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
G2,Team B,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team A,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
G2,Team B,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
G2,Team A,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team B,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team A,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
G2,Team B,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
Natus Vincere,Team A,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
