won,steamid,name,survived,kill_count,match_checksum,tournament
0,76561198179538505,Graviti,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
1,76561198872013168,tN1R,1,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198031890115,Lucky,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
1,76561198104626893,LNZ,1,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
1,76561199137143905,yxngstxr,1,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198045739761,Maka,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198168198200,Ex3rcice,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561199137143905,yxngstxr,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198104626893,LNZ,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198179538505,Graviti,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
1,76561198179538505,Graviti,1,2,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198178209109,xfl0ud,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,0,2,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198104626893,LNZ,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561199137143905,yxngstxr,0,2,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
1,76561198031890115,Lucky,1,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198031890115,Lucky,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198309839541,SunPayus,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198031890115,Lucky,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198168198200,Ex3rcice,1,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198045739761,Maka,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198047876970,Djoko,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198031890115,Lucky,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198104626893,LNZ,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198179538505,Graviti,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198047876970,Djoko,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
0,76561198031890115,Lucky,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
1,76561198031890115,Lucky,1,3,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198309839541,SunPayus,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198872013168,tN1R,1,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198104626893,LNZ,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198309839541,SunPayus,1,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198168198200,Ex3rcice,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198168198200,Ex3rcice,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
1,76561198309839541,SunPayus,1,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198031890115,Lucky,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198104626893,LNZ,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198045739761,Maka,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198168198200,Ex3rcice,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
1,76561198104626893,LNZ,1,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198047876970,Djoko,0,0,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561198179538505,Graviti,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
1,76561198104626893,LNZ,1,1,409bde782d701247,BLAST Bounty 2025 Season 1
0,76561199137143905,yxngstxr,0,1,409bde782d701247,BLAST Bounty 2025 Season 1
