,root,url,url_event,tournament,nspc_tournament,match_id,match_format,match_date,team_1,team_1_result,team_2,team_2_result,winner,event_id,map,map_n,url_request,direct_url_demo,file_name,output_data_path,checksum,demo_path,demo_filename
10,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380077/spirit-vs-mouz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95323,Bo3,2025-03-15 11:45:00,Spirit,1,MOUZ,2,MOUZ,8292,nuke,m1,https://www.hltv.org/download/demo/95323,https://r2-demos.hltv.org/demos/113127/esl-pro-league-season-21-spirit-vs-mouz-bo3-URCNkJQvlSMoueiEGhvvOc.rar,E8292_M95323_esl-pro-league-season-21-spirit-vs-mouz-bo3-URCNkJQvlSMoueiEGhvvOc.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
11,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380077/spirit-vs-mouz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95323,Bo3,2025-03-15 11:45:00,Spirit,1,MOUZ,2,MOUZ,8292,dust2,m2,https://www.hltv.org/download/demo/95323,https://r2-demos.hltv.org/demos/113127/esl-pro-league-season-21-spirit-vs-mouz-bo3-URCNkJQvlSMoueiEGhvvOc.rar,E8292_M95323_esl-pro-league-season-21-spirit-vs-mouz-bo3-URCNkJQvlSMoueiEGhvvOc.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
12,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380077/spirit-vs-mouz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95323,Bo3,2025-03-15 11:45:00,Spirit,1,MOUZ,2,MOUZ,8292,ancient,m3,https://www.hltv.org/download/demo/95323,https://r2-demos.hltv.org/demos/113127/esl-pro-league-season-21-spirit-vs-mouz-bo3-URCNkJQvlSMoueiEGhvvOc.rar,E8292_M95323_esl-pro-league-season-21-spirit-vs-mouz-bo3-URCNkJQvlSMoueiEGhvvOc.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
13,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380074/mouz-vs-g2-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95274,Bo3,2025-03-13 16:15:00,MOUZ,2,G2,1,MOUZ,8292,inferno,m1,https://www.hltv.org/download/demo/95274,https://r2-demos.hltv.org/demos/113077/esl-pro-league-season-21-mouz-vs-g2-bo3-8h26qVX7FMcJYCdzpuA_Gz.rar,E8292_M95274_esl-pro-league-season-21-mouz-vs-g2-bo3-8h26qVX7FMcJYCdzpuA_Gz.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
14,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380074/mouz-vs-g2-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95274,Bo3,2025-03-13 16:15:00,MOUZ,2,G2,1,MOUZ,8292,nuke,m2,https://www.hltv.org/download/demo/95274,https://r2-demos.hltv.org/demos/113077/esl-pro-league-season-21-mouz-vs-g2-bo3-8h26qVX7FMcJYCdzpuA_Gz.rar,E8292_M95274_esl-pro-league-season-21-mouz-vs-g2-bo3-8h26qVX7FMcJYCdzpuA_Gz.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
15,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380074/mouz-vs-g2-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95274,Bo3,2025-03-13 16:15:00,MOUZ,2,G2,1,MOUZ,8292,ancient,m3,https://www.hltv.org/download/demo/95274,https://r2-demos.hltv.org/demos/113077/esl-pro-league-season-21-mouz-vs-g2-bo3-8h26qVX7FMcJYCdzpuA_Gz.rar,E8292_M95274_esl-pro-league-season-21-mouz-vs-g2-bo3-8h26qVX7FMcJYCdzpuA_Gz.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
16,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380071/g2-vs-gamerlegion-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95229,Bo3,2025-03-11 15:40:00,G2,2,GamerLegion,0,G2,8292,inferno,m1,https://www.hltv.org/download/demo/95229,https://r2-demos.hltv.org/demos/113031/esl-pro-league-season-21-g2-vs-gamerlegion-bo3-NeDDj2I6FJz4dj3sgLsEYT.rar,E8292_M95229_esl-pro-league-season-21-g2-vs-gamerlegion-bo3-NeDDj2I6FJz4dj3sgLsEYT.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
17,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380071/g2-vs-gamerlegion-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95229,Bo3,2025-03-11 15:40:00,G2,2,GamerLegion,0,G2,8292,nuke,m2,https://www.hltv.org/download/demo/95229,https://r2-demos.hltv.org/demos/113031/esl-pro-league-season-21-g2-vs-gamerlegion-bo3-NeDDj2I6FJz4dj3sgLsEYT.rar,E8292_M95229_esl-pro-league-season-21-g2-vs-gamerlegion-bo3-NeDDj2I6FJz4dj3sgLsEYT.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
18,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380070/falcons-vs-eternal-fire-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95222,Bo3,2025-03-11 12:15:00,Falcons,1,Eternal Fire,2,Eternal Fire,8292,inferno,m1,https://www.hltv.org/download/demo/95222,https://r2-demos.hltv.org/demos/113024/esl-pro-league-season-21-falcons-vs-eternal-fire-bo3-phsUuIPkfmDIZj0rrTDsQ4.rar,E8292_M95222_esl-pro-league-season-21-falcons-vs-eternal-fire-bo3-phsUuIPkfmDIZj0rrTDsQ4.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
19,c:\Projects\cs2-match-and-player-scraper\ExtractAllData,https://www.hltv.org/matches/2380070/falcons-vs-eternal-fire-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95222,Bo3,2025-03-11 12:15:00,Falcons,1,Eternal Fire,2,Eternal Fire,8292,mirage,m2,https://www.hltv.org/download/demo/95222,https://r2-demos.hltv.org/demos/113024/esl-pro-league-season-21-falcons-vs-eternal-fire-bo3-phsUuIPkfmDIZj0rrTDsQ4.rar,E8292_M95222_esl-pro-league-season-21-falcons-vs-eternal-fire-bo3-phsUuIPkfmDIZj0rrTDsQ4.rar,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\extracted_data\ESL Pro League Season 21,,,
