team_name,team_page,player_name,player_country,player_nick,player_hltv_url,photo_player,player_flag
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Aleksi 'Aleksib' Virolainen,Finland,Aleksib,/player/9816/aleksib,https://img-cdn.hltv.org/playerbodyshot/OFJrdQAr40I1h89iBaG5aN.png?ixlib=java-2.1.0&w=400&s=91666c368028703de4e736c0e904804c,https://www.hltv.org/img/static/flags/30x20/FI.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Mihai 'iM' Ivan,Romania,iM,/player/14759/im,https://img-cdn.hltv.org/playerbodyshot/IYM20iuANIAujxE4W934rY.png?ixlib=java-2.1.0&w=400&s=ffbd1cb6c86b5b2a30dc50209eda3b56,https://www.hltv.org/img/static/flags/30x20/RO.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Valeriy 'b1t' Vakhovskiy,Ukraine,b1t,/player/18987/b1t,https://img-cdn.hltv.org/playerbodyshot/jJaKMbk_6UEmikiR3x7yT_.png?ixlib=java-2.1.0&w=400&s=14ba664f1be97cb4eedf7d221be9bfbf,https://www.hltv.org/img/static/flags/30x20/UA.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Justinas 'jL' Lekavicius,Lithuania,jL,/player/19206/jl,https://img-cdn.hltv.org/playerbodyshot/Hk97br455QyqjUqy3-_th3.png?ixlib=java-2.1.0&w=400&s=deabbdfacd7e73767e75da3c21edd8bf,https://www.hltv.org/img/static/flags/30x20/LT.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Ihor 'w0nderful' Zhdanov,Ukraine,w0nderful,/player/20127/w0nderful,https://img-cdn.hltv.org/playerbodyshot/4Jzn0iyLiOzV70nCLgZSCM.png?ixlib=java-2.1.0&w=400&s=0d0f17f96888ff46dbd8e32f82942277,https://www.hltv.org/img/static/flags/30x20/UA.gif
G2,https://www.hltv.org/team/5995/g2,Janusz 'Snax' Pogorzelski,Poland,Snax,/player/2553/snax,https://img-cdn.hltv.org/playerbodyshot/PCtBkxFzx6KVhnaGxgVoQa.png?ixlib=java-2.1.0&w=400&s=f0b074cfa6e7dfb5cbf439b5fdd8e08b,https://www.hltv.org/img/static/flags/30x20/PL.gif
G2,https://www.hltv.org/team/5995/g2,Nemanja 'huNter-' Kovač,Bosnia and Herzegovina,huNter-,/player/3972/hunter,https://img-cdn.hltv.org/playerbodyshot/JE11ZcPrGFg7coPnvLmvVX.png?ixlib=java-2.1.0&w=400&s=940963bd380ff9b0449ede87c016607b,https://www.hltv.org/img/static/flags/30x20/BA.gif
G2,https://www.hltv.org/team/5995/g2,Mario 'malbsMd' Samayoa,Guatemala,malbsMd,/player/11617/malbsmd,https://img-cdn.hltv.org/playerbodyshot/ctUILRDjbNaDhZTIkGKwXF.png?ixlib=java-2.1.0&w=400&s=6918113c9cad418df3fad983dc894890,https://www.hltv.org/img/static/flags/30x20/GT.gif
G2,https://www.hltv.org/team/5995/g2,Ilya 'm0NESY' Osipov,Russia,m0NESY,/player/19230/m0nesy,https://img-cdn.hltv.org/playerbodyshot/Y8o_lPwfvlhbDUtd6xPKW4.png?ixlib=java-2.1.0&w=400&s=35373625927be94165cc34d4cd8895d4,https://www.hltv.org/img/static/flags/30x20/RU.gif
G2,https://www.hltv.org/team/5995/g2,Nikita 'HeavyGod' Martynenko,Israel,HeavyGod,/player/20447/heavygod,https://img-cdn.hltv.org/playerbodyshot/3zxur0TGNX3nvFVm0jcRYA.png?ixlib=java-2.1.0&w=400&s=09ef4f562e55e3376945b33a9e6602d9,https://www.hltv.org/img/static/flags/30x20/IL.gif
