frame,tick,round,opponents,player_side,won,steamid,name,survived,kill_count,checksum
12214,9991,1,2,2,0,76561198104626893,LNZ,0,0,6ff36ec1a9149902
46891,37725,4,4,3,0,76561198045898864,chopper,1,0,6ff36ec1a9149902
61070,49207,5,2,3,0,76561198045898864,chopper,1,1,6ff36ec1a9149902
61948,49974,5,1,2,1,76561198104626893,LNZ,1,0,6ff36ec1a9149902
74800,59998,6,2,2,1,76561198309839541,SunPayus,1,2,6ff36ec1a9149902
74819,60017,6,1,3,0,76561198995880877,zont1x,0,0,6ff36ec1a9149902
83751,67252,7,4,2,0,76561198309839541,SunPayus,1,0,6ff36ec1a9149902
99196,79584,8,2,3,0,76561198386265483,donk,0,1,6ff36ec1a9149902
99366,79738,8,1,2,1,76561198178209109,xfl0ud,1,1,6ff36ec1a9149902
106458,85086,9,2,3,0,76561198045898864,chopper,1,0,6ff36ec1a9149902
121906,97803,10,2,3,0,76561198995880877,zont1x,0,0,6ff36ec1a9149902
135672,108594,11,4,2,0,76561198309839541,SunPayus,1,3,6ff36ec1a9149902
136578,109354,11,1,3,0,76561198045898864,chopper,1,0,6ff36ec1a9149902
147057,117605,12,3,3,0,76561198995880877,zont1x,0,1,6ff36ec1a9149902
173957,139284,13,4,3,0,76561199137143905,yxngstxr,0,0,6ff36ec1a9149902
181788,145535,14,5,3,0,76561198178209109,xfl0ud,0,0,6ff36ec1a9149902
187566,149724,15,4,2,0,76561198081484775,sh1ro,0,2,6ff36ec1a9149902
207058,165188,17,2,3,0,76561199137143905,yxngstxr,0,0,6ff36ec1a9149902
219595,174870,18,3,2,0,76561199063238565,magixx,0,0,6ff36ec1a9149902
248780,197809,21,2,3,0,76561199137143905,yxngstxr,0,0,6ff36ec1a9149902
263069,208948,22,2,3,0,76561198165452027,maden,0,1,6ff36ec1a9149902
263684,209501,22,1,2,1,76561198995880877,zont1x,1,1,6ff36ec1a9149902
275530,218832,23,4,3,0,76561198309839541,SunPayus,0,0,6ff36ec1a9149902
286716,227801,24,2,3,0,76561198309839541,SunPayus,0,0,6ff36ec1a9149902
9136,7392,1,2,3,0,76561198309839541,SunPayus,0,0,74f1eea03072e6b4
18453,14889,2,3,3,0,76561198309839541,SunPayus,1,0,74f1eea03072e6b4
24246,19401,3,3,3,0,76561198165452027,maden,0,2,74f1eea03072e6b4
24712,19798,3,1,2,1,76561198045898864,chopper,1,1,74f1eea03072e6b4
36813,29757,4,3,3,1,76561198309839541,SunPayus,1,2,74f1eea03072e6b4
38975,31663,4,1,2,0,76561198995880877,zont1x,1,0,74f1eea03072e6b4
49684,39516,5,3,2,0,76561198995880877,zont1x,0,0,74f1eea03072e6b4
58089,46161,6,5,2,0,76561198081484775,sh1ro,0,0,74f1eea03072e6b4
64557,51287,7,2,2,1,76561199063238565,magixx,1,2,74f1eea03072e6b4
64706,51424,7,1,3,0,76561198178209109,xfl0ud,0,0,74f1eea03072e6b4
73515,58519,8,4,3,0,76561198309839541,SunPayus,0,0,74f1eea03072e6b4
83760,66867,9,5,3,0,76561198309839541,SunPayus,0,0,74f1eea03072e6b4
110269,88272,11,2,3,0,76561199137143905,yxngstxr,0,0,74f1eea03072e6b4
120168,96154,12,4,3,0,76561198104626893,LNZ,0,2,74f1eea03072e6b4
142971,114656,13,3,2,0,76561198178209109,xfl0ud,0,1,74f1eea03072e6b4
149885,120365,14,4,2,0,76561198309839541,SunPayus,0,0,74f1eea03072e6b4
160177,128785,15,2,2,0,76561199137143905,yxngstxr,0,0,74f1eea03072e6b4
169013,135563,16,3,2,0,76561198178209109,xfl0ud,0,0,74f1eea03072e6b4
7231,5543,1,4,2,0,76561197982141573,Snax,0,1,f101e58241ef725a
46655,37930,4,3,3,0,76561198372023214,Magnojez,0,0,f101e58241ef725a
58734,47987,5,2,2,1,76561197982141573,Snax,0,1,f101e58241ef725a
58743,47994,5,1,3,0,76561198167785069,s1ren,1,1,f101e58241ef725a
69612,56633,6,2,3,0,76561198372023214,Magnojez,0,0,f101e58241ef725a
84165,68343,7,2,3,0,76561198059714128,nafany,0,0,f101e58241ef725a
95345,77418,8,2,3,0,76561198372023214,Magnojez,0,0,f101e58241ef725a
104431,84543,9,2,2,0,76561198068002993,HeavyGod,0,0,f101e58241ef725a
113057,91299,10,3,3,0,76561198372023214,Magnojez,0,0,f101e58241ef725a
124531,100206,11,4,3,0,76561198059714128,nafany,0,1,f101e58241ef725a
130890,104988,12,2,3,0,76561198059714128,nafany,0,1,f101e58241ef725a
131001,105085,12,1,2,1,76561198074762801,m0NESY,1,1,f101e58241ef725a
152890,122015,13,3,2,0,76561198045433304,Ax1Le,0,0,f101e58241ef725a
163370,130525,14,3,2,0,76561198167785069,s1ren,0,1,f101e58241ef725a
172659,137508,15,4,2,0,76561198059714128,nafany,0,1,f101e58241ef725a
11442,9457,1,2,3,0,76561198167785069,s1ren,0,0,d8db8a4b337c6ecd
20822,17094,2,4,3,0,76561198045433304,Ax1Le,0,1,d8db8a4b337c6ecd
31537,25623,3,2,2,1,76561198012872053,huNter,1,2,d8db8a4b337c6ecd
31621,25696,3,1,3,0,76561198059714128,nafany,0,0,d8db8a4b337c6ecd
39310,31636,4,4,3,0,76561198167785069,s1ren,0,0,d8db8a4b337c6ecd
58771,47321,5,4,3,0,76561198157151718,KaiR0N-,1,1,d8db8a4b337c6ecd
68997,55702,6,2,2,0,76561198012872053,huNter,0,1,d8db8a4b337c6ecd
69259,55937,6,1,3,1,76561198372023214,Magnojez,1,1,d8db8a4b337c6ecd
81318,65303,7,4,2,0,76561198012872053,huNter,0,1,d8db8a4b337c6ecd
86341,69275,8,5,2,0,76561197982141573,Snax,0,0,d8db8a4b337c6ecd
96478,77468,9,3,3,0,76561198167785069,s1ren,0,0,d8db8a4b337c6ecd
129574,104053,12,3,3,0,76561198045433304,Ax1Le,0,1,d8db8a4b337c6ecd
151129,121100,13,5,2,0,76561198045433304,Ax1Le,0,1,d8db8a4b337c6ecd
159759,128131,14,4,2,0,76561198045433304,Ax1Le,0,0,d8db8a4b337c6ecd
170417,136737,15,2,2,0,76561198167785069,s1ren,1,1,d8db8a4b337c6ecd
170870,137125,15,1,3,1,76561198012872053,huNter,1,0,d8db8a4b337c6ecd
178912,143182,16,4,2,0,76561198372023214,Magnojez,0,2,d8db8a4b337c6ecd
27558,23177,1,4,3,0,76561197991272318,ropz,0,1,299d651349cc6962
55443,46278,2,3,3,0,76561197978835160,flameZ,0,0,299d651349cc6962
62048,51634,3,5,3,0,76561197973140692,mezii,0,0,299d651349cc6962
71890,59486,4,3,3,0,76561197978835160,flameZ,1,0,299d651349cc6962
82520,68205,5,3,2,0,76561197967432889,MAJ3R,0,0,299d651349cc6962
96077,79000,6,3,3,0,76561197991272318,ropz,1,0,299d651349cc6962
121973,100133,8,3,3,0,76561197991272318,ropz,1,0,299d651349cc6962
138107,113073,9,5,3,0,76561198113666193,ZywOo,0,1,299d651349cc6962
146449,119682,10,2,2,0,76561198083485506,woxic,0,0,299d651349cc6962
159153,129540,11,4,3,0,76561197991272318,ropz,0,0,299d651349cc6962
168718,137239,12,4,2,0,76561198083485506,woxic,0,1,299d651349cc6962
187424,152457,13,5,3,0,76561198812513923,Wicadia,0,0,299d651349cc6962
210412,171768,15,2,3,0,76561198044118796,XANTARES,1,0,299d651349cc6962
239363,195483,17,4,2,0,76561197989744167,apEX,0,0,299d651349cc6962
250599,204499,18,3,2,0,76561197973140692,mezii,0,2,299d651349cc6962
250959,204818,18,1,3,1,76561198410750263,jottAAA,1,1,299d651349cc6962
260982,212984,19,3,3,0,76561198044118796,XANTARES,0,0,299d651349cc6962
270335,220544,20,4,3,0,76561198812513923,Wicadia,0,0,299d651349cc6962
280311,228418,21,5,2,0,76561198113666193,ZywOo,0,2,299d651349cc6962
294383,239418,22,3,2,0,76561198113666193,ZywOo,0,0,299d651349cc6962
11407,9747,1,3,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
21464,18150,2,4,2,0,76561197989744167,apEX,0,0,ad2b34ad0667c962
30988,25731,3,5,3,0,76561198410750263,jottAAA,0,1,ad2b34ad0667c962
41178,34167,4,5,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
47377,39107,5,3,2,0,76561197978835160,flameZ,0,0,ad2b34ad0667c962
93316,76392,6,4,2,0,76561197991272318,ropz,0,0,ad2b34ad0667c962
102080,83321,7,3,2,0,76561197978835160,flameZ,1,0,ad2b34ad0667c962
113610,92371,8,3,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
120317,97563,9,4,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
126881,102548,10,3,3,0,76561198812513923,Wicadia,0,0,ad2b34ad0667c962
148121,119187,12,4,2,0,76561198113666193,ZywOo,0,0,ad2b34ad0667c962
170668,137944,13,3,2,1,76561198410750263,jottAAA,1,3,ad2b34ad0667c962
173989,140899,13,1,3,0,76561197989744167,apEX,0,0,ad2b34ad0667c962
180896,146384,14,3,2,0,76561197967432889,MAJ3R,0,2,ad2b34ad0667c962
181416,146849,14,1,3,1,76561197978835160,flameZ,1,1,ad2b34ad0667c962
188531,152558,15,2,2,0,76561197967432889,MAJ3R,0,0,ad2b34ad0667c962
194730,157432,16,4,2,0,76561198083485506,woxic,0,0,ad2b34ad0667c962
201648,162977,17,5,2,0,76561198083485506,woxic,0,0,ad2b34ad0667c962
209918,169582,18,4,2,0,76561198044118796,XANTARES,0,0,ad2b34ad0667c962
221085,178702,19,4,2,0,76561198044118796,XANTARES,0,0,ad2b34ad0667c962
232358,187373,20,4,3,0,76561198113666193,ZywOo,0,2,ad2b34ad0667c962
243417,196387,21,3,3,1,76561197973140692,mezii,1,3,ad2b34ad0667c962
244321,197186,21,1,2,0,76561198044118796,XANTARES,0,0,ad2b34ad0667c962
253632,204117,22,2,2,1,76561198083485506,woxic,1,2,ad2b34ad0667c962
