killer_name,killer_steamid,killer_team_name,victim_name,victim_steamid,victim_side,victim_team_name,weapon_name,headshot,is_trade_kill,match_checksum,tournament
huNter,76561198012872053,G2,Magnojez,76561198372023214,Terrorist,BetBoom,M4A1,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
KaiR0N-,76561198157151718,BetBoom,HeavyGod,76561198068002993,Counter Terrorist,G2,AK-47,1,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
KaiR0N-,76561198157151718,BetBoom,malbsMd,76561198080703143,Counter Terrorist,G2,AK-47,1,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,KaiR0N-,76561198157151718,Terrorist,BetBoom,M4A1,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
s1ren,76561198167785069,BetBoom,m0NESY,76561198074762801,Counter Terrorist,G2,AK-47,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,nafany,76561198059714128,Terrorist,BetBoom,M4A1,1,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,KaiR0N-,76561198157151718,Terrorist,BetBoom,M4A1,1,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,Ax1Le,76561198045433304,Terrorist,BetBoom,M4A1,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
Magnojez,76561198372023214,BetBoom,malbsMd,76561198080703143,Counter Terrorist,G2,SSG 08,1,1,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,s1ren,76561198167785069,Terrorist,BetBoom,M4A4,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
Magnojez,76561198372023214,BetBoom,huNter,76561198012872053,Counter Terrorist,G2,Desert Eagle,1,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
Magnojez,76561198372023214,BetBoom,HeavyGod,76561198068002993,Counter Terrorist,G2,Desert Eagle,1,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,Magnojez,76561198372023214,Terrorist,BetBoom,M4A1,0,1,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,Dual Berettas,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Glock-18,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,USP-S,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,Glock-18,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,P250,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,P250,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,Glock-18,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,HeavyGod,76561198068002993,Terrorist,G2,Five-SeveN,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,Five-SeveN,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,Galil AR,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Galil AR,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,huNter,76561198012872053,Terrorist,G2,MP9,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,Snax,76561197982141573,Terrorist,G2,Galil AR,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,MP9,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,Galil AR,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,MP7,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,Five-SeveN,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Galil AR,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,Galil AR,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,MP7,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,Snax,76561197982141573,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AK-47,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,Snax,76561197982141573,Terrorist,G2,MP9,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,huNter,76561198012872053,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,MP9,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,HeavyGod,76561198068002993,Terrorist,G2,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,Snax,76561197982141573,Terrorist,G2,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,huNter,76561198012872053,Terrorist,G2,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AWP,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,Snax,76561197982141573,Terrorist,G2,MP9,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,HeavyGod,76561198068002993,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AWP,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,AWP,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,Snax,76561197982141573,Terrorist,G2,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,HeavyGod,76561198068002993,Terrorist,G2,AWP,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,huNter,76561198012872053,Terrorist,G2,M4A1,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,MP9,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,Snax,76561197982141573,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,HeavyGod,76561198068002993,Terrorist,G2,MP9,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,MP9,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,huNter,76561198012872053,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,woxic,76561198083485506,Counter Terrorist,Eternal Fire,Molotov,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Galil AR,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,malbsMd,76561198080703143,Terrorist,G2,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,Snax,76561197982141573,Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Galil AR,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,m0NESY,76561198074762801,Terrorist,G2,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,huNter,76561198012872053,Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,HeavyGod,76561198068002993,Terrorist,G2,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,HeavyGod,76561198068002993,Counter Terrorist,G2,Glock-18,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,Snax,76561197982141573,Counter Terrorist,G2,Dual Berettas,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,USP-S,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,m0NESY,76561198074762801,Counter Terrorist,G2,Glock-18,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,Dual Berettas,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,Glock-18,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,Glock-18,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,MAC-10,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,m0NESY,76561198074762801,Counter Terrorist,G2,MAC-10,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,MAC-10,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,MAJ3R,76561197967432889,Terrorist,Eternal Fire,Desert Eagle,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,HeavyGod,76561198068002993,Counter Terrorist,G2,MAC-10,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,m0NESY,76561198074762801,Counter Terrorist,G2,MAC-10,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,Snax,76561197982141573,Counter Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,MAJ3R,76561197967432889,Terrorist,Eternal Fire,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,AWP,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,jottAAA,76561198410750263,Terrorist,Eternal Fire,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,woxic,76561198083485506,Terrorist,Eternal Fire,AWP,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,Snax,76561197982141573,Counter Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,MAJ3R,76561197967432889,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,jottAAA,76561198410750263,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,M4A1,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,HeavyGod,76561198068002993,Counter Terrorist,G2,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,m0NESY,76561198074762801,Counter Terrorist,G2,AWP,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,woxic,76561198083485506,Terrorist,Eternal Fire,Five-SeveN,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,HeavyGod,76561198068002993,Counter Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,m0NESY,76561198074762801,Counter Terrorist,G2,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,Snax,76561197982141573,Counter Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,MAJ3R,76561197967432889,Terrorist,Eternal Fire,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,jottAAA,76561198410750263,Terrorist,Eternal Fire,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AWP,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,woxic,76561198083485506,Terrorist,Eternal Fire,M4A1,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,jottAAA,76561198410750263,Terrorist,Eternal Fire,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,MAC-10,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,woxic,76561198083485506,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,m0NESY,76561198074762801,Counter Terrorist,G2,AK-47,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,MAJ3R,76561197967432889,Terrorist,Eternal Fire,M4A1,0,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,M4A1,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,woxic,76561198083485506,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,Tec-9,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,jottAAA,76561198410750263,Terrorist,Eternal Fire,M4A1,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,Snax,76561197982141573,Counter Terrorist,G2,AK-47,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,XANTARES,76561198044118796,Terrorist,Eternal Fire,M4A1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AK-47,1,1,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,HeavyGod,76561198068002993,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,Wicadia,76561198812513923,Terrorist,Eternal Fire,AWP,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,malbsMd,76561198080703143,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,huNter,76561198012872053,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,Snax,76561197982141573,Counter Terrorist,G2,AK-47,1,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
