root,url,url_event,tournament,nspc_tournament,match_id,url_request,direct_url_demo,file_name,demo_path,output_data_path
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379355/complexity-vs-saw-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94370,https://www.hltv.org/download/demo/94370,https://r2-demos.hltv.org/demos/112107/pgl-cluj-napoca-2025-complexity-vs-saw-bo3-JBwBDysaaoZLJpQ_-5CsRU.rar,pgl-cluj-napoca-2025-complexity-vs-saw-bo3-JBwBDysaaoZLJpQ_-5CsRU.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379354/pain-vs-virtuspro-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94364,https://www.hltv.org/download/demo/94364,https://r2-demos.hltv.org/demos/112103/pgl-cluj-napoca-2025-pain-vs-virtuspro-bo3-bR_wWg3qJEcg6JK4WMn3Xz.rar,pgl-cluj-napoca-2025-pain-vs-virtuspro-bo3-bR_wWg3qJEcg6JK4WMn3Xz.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379353/astralis-vs-mibr-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94360,https://www.hltv.org/download/demo/94360,https://r2-demos.hltv.org/demos/112094/pgl-cluj-napoca-2025-astralis-vs-mibr-bo3-ApDcTA92DCxwpJOhhiSljt.rar,pgl-cluj-napoca-2025-astralis-vs-mibr-bo3-ApDcTA92DCxwpJOhhiSljt.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379352/3dmax-vs-eternal-fire-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94359,https://www.hltv.org/download/demo/94359,https://r2-demos.hltv.org/demos/112091/pgl-cluj-napoca-2025-3dmax-vs-eternal-fire-bo3-socQKKczrU9L4yVS_ghkP0.rar,pgl-cluj-napoca-2025-3dmax-vs-eternal-fire-bo3-socQKKczrU9L4yVS_ghkP0.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379350/mouz-vs-falcons-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94351,https://www.hltv.org/download/demo/94351,https://r2-demos.hltv.org/demos/112079/pgl-cluj-napoca-2025-mouz-vs-falcons-bo3-RouGEXxQNDHfgFs9N5omhR.rar,pgl-cluj-napoca-2025-mouz-vs-falcons-bo3-RouGEXxQNDHfgFs9N5omhR.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379351/wildcard-vs-big-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94350,https://www.hltv.org/download/demo/94350,https://r2-demos.hltv.org/demos/112078/pgl-cluj-napoca-2025-wildcard-vs-big-bo3-1SUv0RLF-c22rE9dRgARjd.rar,pgl-cluj-napoca-2025-wildcard-vs-big-bo3-1SUv0RLF-c22rE9dRgARjd.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379348/pain-vs-the-mongolz-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94344,https://www.hltv.org/download/demo/94344,https://r2-demos.hltv.org/demos/112072/pgl-cluj-napoca-2025-pain-vs-the-mongolz-bo3-MraHTnw1vh1xR29tbSnvr-.rar,pgl-cluj-napoca-2025-pain-vs-the-mongolz-bo3-MraHTnw1vh1xR29tbSnvr-.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379349/saw-vs-flyquest-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94342,https://www.hltv.org/download/demo/94342,https://r2-demos.hltv.org/demos/112070/pgl-cluj-napoca-2025-saw-vs-flyquest-bo3-y7RJwWsFpNcpqmKExBQCvs.rar,pgl-cluj-napoca-2025-saw-vs-flyquest-bo3-y7RJwWsFpNcpqmKExBQCvs.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379346/mouz-vs-faze-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94340,https://www.hltv.org/download/demo/94340,https://r2-demos.hltv.org/demos/112068/pgl-cluj-napoca-2025-mouz-vs-faze-bo3-uE4CGPoPAgojCupalla87D.rar,pgl-cluj-napoca-2025-mouz-vs-faze-bo3-uE4CGPoPAgojCupalla87D.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379347/complexity-vs-imperial-valkyries-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94338,https://www.hltv.org/download/demo/94338,https://r2-demos.hltv.org/demos/112066/pgl-cluj-napoca-2025-complexity-vs-imperial-valkyries-bo3-Yo9qNO09WptDmZvhEpRmjJ.rar,pgl-cluj-napoca-2025-complexity-vs-imperial-valkyries-bo3-Yo9qNO09WptDmZvhEpRmjJ.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
