team_name,team_page,player_name,player_country,player_nick,player_hltv_url,photo_player,player_flag,photo_player_path,player_flag_path
G2,https://www.hltv.org/team/5995/g2,Nikita 'HeavyGod' Martynenko,Israel,HeavyGod,https://www.hltv.org/player/20447/heavygod,https://img-cdn.hltv.org/playerbodyshot/3zxur0TGNX3nvFVm0jcRYA.png?ixlib=java-2.1.0&w=400&s=09ef4f562e55e3376945b33a9e6602d9,https://www.hltv.org/img/static/flags/30x20/IL.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\g2-HeavyGod.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\israel.png
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Engin 'MAJ3R' Küpeli,Turkey,MAJ3R,https://www.hltv.org/player/150/maj3r,https://img-cdn.hltv.org/playerbodyshot/nnPbCYR8DQQ72C7ibLvahL.png?ixlib=java-2.1.0&w=400&s=00b38017f63176d180291489d0e6ebd1,https://www.hltv.org/img/static/flags/30x20/TR.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\eternal-fire-MAJ3R.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\turkey.png
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Ismailcan 'XANTARES' Dörtkardeş,Turkey,XANTARES,https://www.hltv.org/player/7938/xantares,https://img-cdn.hltv.org/playerbodyshot/_V9cxyb8lJMrdQul0uIEPv.png?ixlib=java-2.1.0&w=400&s=ce24ded87116afd5bf199996bdabe0fa,https://www.hltv.org/img/static/flags/30x20/TR.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\eternal-fire-XANTARES.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\turkey.png
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Özgür 'woxic' Eker,Turkey,woxic,https://www.hltv.org/player/8574/woxic,https://img-cdn.hltv.org/playerbodyshot/fF7RSP0vxh6g0SHPVHolsa.png?ixlib=java-2.1.0&w=400&s=efc0d478b8a3e8468aad23b0e77a7eec,https://www.hltv.org/img/static/flags/30x20/TR.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\eternal-fire-woxic.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\turkey.png
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Ali 'Wicadia' Haydar Yalçın,Turkey,Wicadia,https://www.hltv.org/player/21243/wicadia,https://img-cdn.hltv.org/playerbodyshot/w1S5T63TognCAa7PdQ7Ok7.png?ixlib=java-2.1.0&w=400&s=1346731c3dfb3cc3802302f4fd9e5f9e,https://www.hltv.org/img/static/flags/30x20/TR.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\eternal-fire-Wicadia.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\turkey.png
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Samet 'jottAAA' Köklü,Turkey,jottAAA,https://www.hltv.org/player/22361/jottaaa,https://img-cdn.hltv.org/playerbodyshot/zdj4FmASFChD1cChR79TsJ.png?ixlib=java-2.1.0&w=400&s=d90d409432c76b4afaeb35876d802bb3,https://www.hltv.org/img/static/flags/30x20/TR.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\eternal-fire-jottAAA.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\turkey.png
FaZe,https://www.hltv.org/team/6667/faze,Finn 'karrigan' Andersen,Denmark,karrigan,https://www.hltv.org/player/429/karrigan,https://img-cdn.hltv.org/playerbodyshot/7xNUYJWQ2UD1WYEMJfAp2a.png?ixlib=java-2.1.0&w=400&s=11c47c21f9b16abaa29adaca460a575c,https://www.hltv.org/img/static/flags/30x20/DK.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\faze-karrigan.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\denmark.png
FaZe,https://www.hltv.org/team/6667/faze,Håvard 'rain' Nygaard,Norway,rain,https://www.hltv.org/player/8183/rain,https://img-cdn.hltv.org/playerbodyshot/me3Q2ue15YY77MF7dR5Acj.png?ixlib=java-2.1.0&w=400&s=ac072a05cdd8a214df94718b987da5eb,https://www.hltv.org/img/static/flags/30x20/NO.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\faze-rain.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\norway.png
FaZe,https://www.hltv.org/team/6667/faze,Jonathan 'EliGE' Jablonowski,United States,EliGE,https://www.hltv.org/player/8738/elige,https://img-cdn.hltv.org/playerbodyshot/Iba6Szy_G9atMUElBWwNey.png?ixlib=java-2.1.0&w=400&s=8c389c708aa9d23f5afa24db0613111c,https://www.hltv.org/img/static/flags/30x20/US.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\faze-EliGE.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\united-states.png
FaZe,https://www.hltv.org/team/6667/faze,David 'frozen' Čerňanský,Slovakia,frozen,https://www.hltv.org/player/9960/frozen,https://img-cdn.hltv.org/playerbodyshot/qnHrMIU5Ud8IYT5j_SlXvN.png?ixlib=java-2.1.0&w=400&s=0d14a7d0ba70339fd6a534b4f6156135,https://www.hltv.org/img/static/flags/30x20/SK.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\faze-frozen.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\slovakia.png
