name,team,match_checksum,tournament
FaZe Clan,Team B,b293a59fe730997a,BLAST Premier World Final 2024
FaZe Clan,Team A,b783523242dc5cd9,BLAST Premier World Final 2024
MOUZ,Team B,b783523242dc5cd9,BLAST Premier World Final 2024
MOUZ,Team A,feb54802b6a9c832,BLAST Premier World Final 2024
Vitality,Team B,feb54802b6a9c832,BLAST Premier World Final 2024
Vitality,Team A,fe36626287e46b88,BLAST Premier World Final 2024
MOUZ,Team B,fe36626287e46b88,BLAST Premier World Final 2024
Natus Vincere,Team A,396cb5177b9dae02,BLAST Premier World Final 2024
Astralis,Team B,396cb5177b9dae02,BLAST Premier World Final 2024
Astralis,Team A,6c692080c5f6abee,BLAST Premier World Final 2024
Natus Vincere,Team B,6c692080c5f6abee,BLAST Premier World Final 2024
Natus Vincere,Team A,abd480a89674e421,BLAST Premier World Final 2024
FaZe Clan,Team B,abd480a89674e421,BLAST Premier World Final 2024
FaZe Clan,Team A,61978a585e80788f,BLAST Premier World Final 2024
Natus Vincere,Team B,61978a585e80788f,BLAST Premier World Final 2024
FaZe Clan,Team A,af4da788cca3cf47,BLAST Premier World Final 2024
Natus Vincere,Team B,af4da788cca3cf47,BLAST Premier World Final 2024
Spirit,Team A,dbff32cc281390d2,BLAST Premier World Final 2024
Vitality,Team B,dbff32cc281390d2,BLAST Premier World Final 2024
Spirit,Team A,6fc423a29305d61b,BLAST Premier World Final 2024
Vitality,Team B,6fc423a29305d61b,BLAST Premier World Final 2024
Team A,Team A,191fd7f9b8ec76a6,ESL Challenger Katowice 2024
Team B,Team B,191fd7f9b8ec76a6,ESL Challenger Katowice 2024
Team A,Team A,5725f5bf4a9406,ESL Challenger Katowice 2024
Team B,Team B,5725f5bf4a9406,ESL Challenger Katowice 2024
Team A,Team A,55dc01bc0ffe531,ESL Challenger Katowice 2024
Team B,Team B,55dc01bc0ffe531,ESL Challenger Katowice 2024
B8 Esports,Team A,8be6ee39a646d052,ESL Challenger Katowice 2024
SAW,Team B,8be6ee39a646d052,ESL Challenger Katowice 2024
Team A,Team A,59bf5364fd4cd21,ESL Challenger Katowice 2024
Team B,Team B,59bf5364fd4cd21,ESL Challenger Katowice 2024
Team A,Team A,1e7dbaa16b583e8a,ESL Challenger Katowice 2024
Team B,Team B,1e7dbaa16b583e8a,ESL Challenger Katowice 2024
Team A,Team A,aff1be81e0d222e2,ESL Challenger Katowice 2024
Team B,Team B,aff1be81e0d222e2,ESL Challenger Katowice 2024
Team A,Team A,ea033a32584d3430,ESL Challenger Katowice 2024
Team B,Team B,ea033a32584d3430,ESL Challenger Katowice 2024
Team A,Team A,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
Team B,Team B,7b4a123f5b30e4ee,ESL Challenger Katowice 2024
Team A,Team A,6e4986c5e55c72c2,ESL Challenger Katowice 2024
Team B,Team B,6e4986c5e55c72c2,ESL Challenger Katowice 2024
Team A,Team A,9df59068c7fce089,ESL Challenger Katowice 2024
Team B,Team B,9df59068c7fce089,ESL Challenger Katowice 2024
Team A,Team A,cd2645f85a9d982a,ESL Challenger Katowice 2024
Team B,Team B,cd2645f85a9d982a,ESL Challenger Katowice 2024
Team A,Team A,3d3dca900fb008d8,ESL Challenger Katowice 2024
Team B,Team B,3d3dca900fb008d8,ESL Challenger Katowice 2024
Team A,Team A,b849a0efe34ed8e5,ESL Challenger Katowice 2024
Team B,Team B,b849a0efe34ed8e5,ESL Challenger Katowice 2024
Team A,Team A,d9beb80f8ec7964b,ESL Challenger Katowice 2024
Team B,Team B,d9beb80f8ec7964b,ESL Challenger Katowice 2024
Team A,Team A,9ccb5651c9037897,ESL Challenger Katowice 2024
Team B,Team B,9ccb5651c9037897,ESL Challenger Katowice 2024
Team A,Team A,d98db98f2d8cae08,ESL Challenger Katowice 2024
Team B,Team B,d98db98f2d8cae08,ESL Challenger Katowice 2024
Team A,Team A,105e3d346cf2883f,ESL Challenger Katowice 2024
Team B,Team B,105e3d346cf2883f,ESL Challenger Katowice 2024
Team A,Team A,10196e75e41a9814,ESL Challenger Katowice 2024
Team B,Team B,10196e75e41a9814,ESL Challenger Katowice 2024
Team A,Team A,25fa92a7bad8712,ESL Challenger Katowice 2024
Team B,Team B,25fa92a7bad8712,ESL Challenger Katowice 2024
Team A,Team A,ec084c64c577b027,ESL Challenger Katowice 2024
Team B,Team B,ec084c64c577b027,ESL Challenger Katowice 2024
Team A,Team A,b122b20cb1e25e7e,ESL Challenger Katowice 2024
Team B,Team B,b122b20cb1e25e7e,ESL Challenger Katowice 2024
Team A,Team A,c4679dd1ddb9c0f6,ESL Challenger Katowice 2024
Team B,Team B,c4679dd1ddb9c0f6,ESL Challenger Katowice 2024
Team A,Team A,3a5be6e4d45a306e,IEM Katowice 2025
Team B,Team B,3a5be6e4d45a306e,IEM Katowice 2025
Team A,Team A,bf5f494d030fe791,IEM Katowice 2025
Team B,Team B,bf5f494d030fe791,IEM Katowice 2025
Team A,Team A,7a873ef2dfe2748b,IEM Katowice 2025
Team B,Team B,7a873ef2dfe2748b,IEM Katowice 2025
Team A,Team A,6c679391a6dbcf2f,IEM Katowice 2025
Team B,Team B,6c679391a6dbcf2f,IEM Katowice 2025
Team A,Team A,59915953161c3f2c,IEM Katowice 2025
Team B,Team B,59915953161c3f2c,IEM Katowice 2025
Team A,Team A,2560f7943b930418,IEM Katowice 2025
Team B,Team B,2560f7943b930418,IEM Katowice 2025
Team A,Team A,60fb075c6ceb579d,IEM Katowice 2025
Team B,Team B,60fb075c6ceb579d,IEM Katowice 2025
Team A,Team A,24caf48b107978c8,IEM Katowice 2025
Team B,Team B,24caf48b107978c8,IEM Katowice 2025
Team A,Team A,f724d4d6b20a12bb,IEM Katowice 2025
Team B,Team B,f724d4d6b20a12bb,IEM Katowice 2025
Eternal Fire,Team A,81aee11eb055c1ff,IEM Katowice 2025
Virtus.pro,Team B,81aee11eb055c1ff,IEM Katowice 2025
Team A,Team A,d3c2cd2f022a60c2,IEM Katowice 2025
Team B,Team B,d3c2cd2f022a60c2,IEM Katowice 2025
Team Falcons,Team A,cbf08c5a4ea5b688,IEM Katowice 2025
Eternal Fire,Team B,cbf08c5a4ea5b688,IEM Katowice 2025
Team A,Team A,fbcad246a8dde6be,IEM Katowice 2025
Team B,Team B,fbcad246a8dde6be,IEM Katowice 2025
Team A,Team A,e537f0fbeee87b04,IEM Katowice 2025
Team B,Team B,e537f0fbeee87b04,IEM Katowice 2025
Team A,Team A,689e7c4b453a1b22,IEM Katowice 2025
Team B,Team B,689e7c4b453a1b22,IEM Katowice 2025
Team A,Team A,559ac651f961dcd4,IEM Katowice 2025
Team B,Team B,559ac651f961dcd4,IEM Katowice 2025
FaZe Clan,Team A,28433542262f6ce8,IEM Katowice 2025
BIG,Team B,28433542262f6ce8,IEM Katowice 2025
Team A,Team A,19d23a463472ab70,IEM Katowice 2025
Team B,Team B,19d23a463472ab70,IEM Katowice 2025
Team A,Team A,d9bcb36f06fcf029,IEM Katowice 2025
Team B,Team B,d9bcb36f06fcf029,IEM Katowice 2025
Team A,Team A,d6d0f7100c7b886a,IEM Katowice 2025
Team B,Team B,d6d0f7100c7b886a,IEM Katowice 2025
Team A,Team A,37b4c80e049802e4,IEM Katowice 2025
Team B,Team B,37b4c80e049802e4,IEM Katowice 2025
Astralis,Team A,693fb6f5fe54ada3,IEM Katowice 2025
FURIA,Team B,693fb6f5fe54ada3,IEM Katowice 2025
Team A,Team A,a841aa475f35b827,IEM Katowice 2025
Team B,Team B,a841aa475f35b827,IEM Katowice 2025
Team A,Team A,b1546cb16ce4f919,IEM Katowice 2025
Team B,Team B,b1546cb16ce4f919,IEM Katowice 2025
Astralis,Team A,7e2a3723b325ac32,IEM Katowice 2025
FURIA,Team B,7e2a3723b325ac32,IEM Katowice 2025
Team A,Team A,1d90a7887b738639,IEM Katowice 2025
Team B,Team B,1d90a7887b738639,IEM Katowice 2025
G2 Esports,Team A,45e1ab827f1078e8,IEM Katowice 2025
FaZe Clan,Team B,45e1ab827f1078e8,IEM Katowice 2025
Team A,Team A,2a9902e81ae40834,IEM Katowice 2025
Team B,Team B,2a9902e81ae40834,IEM Katowice 2025
FaZe Clan,Team A,751f3a46428921f2,IEM Katowice 2025
G2 Esports,Team B,751f3a46428921f2,IEM Katowice 2025
Team A,Team A,55f900d795622dae,IEM Katowice 2025
Team B,Team B,55f900d795622dae,IEM Katowice 2025
Team A,Team A,3374c692d0b7534,IEM Katowice 2025
Team B,Team B,3374c692d0b7534,IEM Katowice 2025
Team A,Team A,c56449524c6b814a,IEM Katowice 2025
Team B,Team B,c56449524c6b814a,IEM Katowice 2025
Team A,Team A,1cd7c5206b017384,IEM Katowice 2025
Team B,Team B,1cd7c5206b017384,IEM Katowice 2025
Team A,Team A,1cb455e4100595e,IEM Katowice 2025
Team B,Team B,1cb455e4100595e,IEM Katowice 2025
Team A,Team A,24aae0a026f21989,IEM Katowice 2025
Team B,Team B,24aae0a026f21989,IEM Katowice 2025
Team A,Team A,f0512b9774f1d4e0,IEM Katowice 2025
Team B,Team B,f0512b9774f1d4e0,IEM Katowice 2025
Team Spirit,Team A,466fcbf188bb4eeb,IEM Katowice 2025
GamerLegion,Team B,466fcbf188bb4eeb,IEM Katowice 2025
Team Spirit,Team A,6db171ff15dfdd09,IEM Katowice 2025
GamerLegion,Team B,6db171ff15dfdd09,IEM Katowice 2025
Team Spirit,Team A,d474cdcdbcd4e391,IEM Katowice 2025
GamerLegion,Team B,d474cdcdbcd4e391,IEM Katowice 2025
Team A,Team A,c051cd28c3fef2fb,IEM Katowice 2025
Team B,Team B,c051cd28c3fef2fb,IEM Katowice 2025
Team A,Team A,52f410db2e464ddf,IEM Katowice 2025
Team B,Team B,52f410db2e464ddf,IEM Katowice 2025
Team A,Team A,68f960e49f620eb6,IEM Katowice 2025
Team B,Team B,68f960e49f620eb6,IEM Katowice 2025
Team A,Team A,460cdd1cb28a18de,IEM Katowice 2025
Team B,Team B,460cdd1cb28a18de,IEM Katowice 2025
Team Spirit,Team A,ba4d5563629a1e42,IEM Katowice 2025
Team Liquid,Team B,ba4d5563629a1e42,IEM Katowice 2025
Team A,Team A,61cd6440284a9038,IEM Katowice 2025
Team B,Team B,61cd6440284a9038,IEM Katowice 2025
Team A,Team A,a0154a45e1d020a3,IEM Katowice 2025
Team B,Team B,a0154a45e1d020a3,IEM Katowice 2025
Team A,Team A,ac1380546b71e382,IEM Katowice 2025
Team B,Team B,ac1380546b71e382,IEM Katowice 2025
Team A,Team A,fd5f8a6034103d74,IEM Katowice 2025
Team B,Team B,fd5f8a6034103d74,IEM Katowice 2025
Team A,Team A,923d4f47b764dce7,IEM Katowice 2025
Team B,Team B,923d4f47b764dce7,IEM Katowice 2025
Team A,Team A,ebcee65afcd51cc1,IEM Katowice 2025
Team B,Team B,ebcee65afcd51cc1,IEM Katowice 2025
Team A,Team A,72cbe2c6ce383400,IEM Katowice 2025
Team B,Team B,72cbe2c6ce383400,IEM Katowice 2025
Team A,Team A,4a7f07789d54e3b7,IEM Katowice 2025
Team B,Team B,4a7f07789d54e3b7,IEM Katowice 2025
Team A,Team A,9db7975699fd0241,IEM Katowice 2025
Team B,Team B,9db7975699fd0241,IEM Katowice 2025
Natus Vincere,Team A,8c8bbaa2641a47f5,IEM Katowice 2025
Team Spirit,Team B,8c8bbaa2641a47f5,IEM Katowice 2025
Natus Vincere,Team A,e732cdb2060c513d,IEM Katowice 2025
Team Spirit,Team B,e732cdb2060c513d,IEM Katowice 2025
Team A,Team A,d283b059cd044a37,IEM Katowice 2025
Team B,Team B,d283b059cd044a37,IEM Katowice 2025
Team A,Team A,e5487aec09987be7,IEM Katowice 2025
Team B,Team B,e5487aec09987be7,IEM Katowice 2025
Team A,Team A,15ecd8037c10dd79,IEM Katowice 2025
Team B,Team B,15ecd8037c10dd79,IEM Katowice 2025
Team A,Team A,c4954bead7b0cea3,IEM Katowice 2025
Team B,Team B,c4954bead7b0cea3,IEM Katowice 2025
Astralis,Team A,2582d0e2275df235,IEM Katowice 2025
Team Spirit,Team B,2582d0e2275df235,IEM Katowice 2025
Team A,Team A,7c8d471088efabbd,IEM Katowice 2025
Team B,Team B,7c8d471088efabbd,IEM Katowice 2025
Team A,Team A,4314a9bfc52002d9,IEM Katowice 2025
Team B,Team B,4314a9bfc52002d9,IEM Katowice 2025
Team A,Team A,cde638435845fd7f,IEM Katowice 2025
Team B,Team B,cde638435845fd7f,IEM Katowice 2025
The MongolZ,Team A,12edef407a73615c,IEM Katowice 2025
Eternal Fire,Team B,12edef407a73615c,IEM Katowice 2025
Team A,Team A,b4ed316595c9e3ee,IEM Katowice 2025
Team B,Team B,b4ed316595c9e3ee,IEM Katowice 2025
The MongolZ,Team A,9169550a6483bf72,IEM Katowice 2025
Team Liquid,Team B,9169550a6483bf72,IEM Katowice 2025
Team Liquid,Team A,551f82d6a90513c,IEM Katowice 2025
The MongolZ,Team B,551f82d6a90513c,IEM Katowice 2025
Team A,Team A,9d28525a9109fae5,IEM Katowice 2025
Team B,Team B,9d28525a9109fae5,IEM Katowice 2025
Team A,Team A,b3e630844838d64a,IEM Katowice 2025
Team B,Team B,b3e630844838d64a,IEM Katowice 2025
Team A,Team A,d1a36e7ffefcc2b,IEM Katowice 2025
Team B,Team B,d1a36e7ffefcc2b,IEM Katowice 2025
Team A,Team A,ff97bf15fec913cc,IEM Katowice 2025
Team B,Team B,ff97bf15fec913cc,IEM Katowice 2025
Team A,Team A,389c398779c40eb7,IEM Katowice 2025
Team B,Team B,389c398779c40eb7,IEM Katowice 2025
Team A,Team A,2d40aa7843420a75,IEM Katowice 2025
Team B,Team B,2d40aa7843420a75,IEM Katowice 2025
Team A,Team A,fe4b8e62bc76e328,IEM Katowice 2025
Team B,Team B,fe4b8e62bc76e328,IEM Katowice 2025
Team A,Team A,9762731cfede72e3,IEM Katowice 2025
Team B,Team B,9762731cfede72e3,IEM Katowice 2025
Team A,Team A,570f8248223e79f2,IEM Katowice 2025
Team B,Team B,570f8248223e79f2,IEM Katowice 2025
Team A,Team A,21962835eb0afc65,IEM Katowice 2025
Team B,Team B,21962835eb0afc65,IEM Katowice 2025
3DMAX,Team A,338bf45269a7603e,IEM Katowice 2025
Team Vitality,Team B,338bf45269a7603e,IEM Katowice 2025
Team Vitality,Team A,210aa16e681afeb,IEM Katowice 2025
3DMAX,Team B,210aa16e681afeb,IEM Katowice 2025
Team A,Team A,35700478db137ecd,IEM Katowice 2025
Team B,Team B,35700478db137ecd,IEM Katowice 2025
Team A,Team A,383f3f966a667aac,IEM Katowice 2025
Team B,Team B,383f3f966a667aac,IEM Katowice 2025
Team A,Team A,da770bde2ceb32d,IEM Katowice 2025
Team B,Team B,da770bde2ceb32d,IEM Katowice 2025
Team A,Team A,195047b6d1906fc4,IEM Katowice 2025
Team B,Team B,195047b6d1906fc4,IEM Katowice 2025
Team A,Team A,da94e61682a859f4,IEM Katowice 2025
Team B,Team B,da94e61682a859f4,IEM Katowice 2025
Team A,Team A,9f4bfbc3b264416b,IEM Katowice 2025
Team B,Team B,9f4bfbc3b264416b,IEM Katowice 2025
Team A,Team A,c7e4db4643f03b80,IEM Katowice 2025
Team B,Team B,c7e4db4643f03b80,IEM Katowice 2025
Team A,Team A,f500563a00bf8c99,IEM Katowice 2025
Team B,Team B,f500563a00bf8c99,IEM Katowice 2025
Team A,Team A,bfc6f2825a0867f9,IEM Katowice 2025 Play-in
Team B,Team B,bfc6f2825a0867f9,IEM Katowice 2025 Play-in
Team A,Team A,b4c6188c4486cbd4,IEM Katowice 2025 Play-in
Team B,Team B,b4c6188c4486cbd4,IEM Katowice 2025 Play-in
Team A,Team A,8ba8780c2294ec78,IEM Katowice 2025 Play-in
Team B,Team B,8ba8780c2294ec78,IEM Katowice 2025 Play-in
Team A,Team A,69fe15c294772f47,IEM Katowice 2025 Play-in
Team B,Team B,69fe15c294772f47,IEM Katowice 2025 Play-in
Team A,Team A,27ff2724d14966de,IEM Katowice 2025 Play-in
Team B,Team B,27ff2724d14966de,IEM Katowice 2025 Play-in
MIBR,Team A,c63cce56b8892279,IEM Katowice 2025 Play-in
Astralis,Team B,c63cce56b8892279,IEM Katowice 2025 Play-in
Astralis,Team A,dd7f4fbf9530e544,IEM Katowice 2025 Play-in
MIBR,Team B,dd7f4fbf9530e544,IEM Katowice 2025 Play-in
Team A,Team A,99a415d433476e78,IEM Katowice 2025 Play-in
Team B,Team B,99a415d433476e78,IEM Katowice 2025 Play-in
Team A,Team A,a6bf6fa832a47317,IEM Katowice 2025 Play-in
Team B,Team B,a6bf6fa832a47317,IEM Katowice 2025 Play-in
Team A,Team A,b2c49860d94e5292,IEM Katowice 2025 Play-in
Team B,Team B,b2c49860d94e5292,IEM Katowice 2025 Play-in
Team A,Team A,118dfcc021267f70,IEM Katowice 2025 Play-in
Team B,Team B,118dfcc021267f70,IEM Katowice 2025 Play-in
Team A,Team A,adb0c2aafaa3fb20,IEM Katowice 2025 Play-in
Team B,Team B,adb0c2aafaa3fb20,IEM Katowice 2025 Play-in
Team A,Team A,282f92f9b99085d8,IEM Katowice 2025 Play-in
Team B,Team B,282f92f9b99085d8,IEM Katowice 2025 Play-in
Eternal Fire,Team A,96e3bfd883fd165b,IEM Katowice 2025 Play-in
Complexity,Team B,96e3bfd883fd165b,IEM Katowice 2025 Play-in
Team A,Team A,69c385174318c430,IEM Katowice 2025 Play-in
Team B,Team B,69c385174318c430,IEM Katowice 2025 Play-in
Team A,Team A,570bcf1cea3a6b34,IEM Katowice 2025 Play-in
Team B,Team B,570bcf1cea3a6b34,IEM Katowice 2025 Play-in
Team A,Team A,391305308d8bb198,IEM Katowice 2025 Play-in
Team B,Team B,391305308d8bb198,IEM Katowice 2025 Play-in
Team A,Team A,376b2624d4ca6f5b,IEM Katowice 2025 Play-in
Team B,Team B,376b2624d4ca6f5b,IEM Katowice 2025 Play-in
Team A,Team A,9266ec02c32bf917,IEM Katowice 2025 Play-in
Team B,Team B,9266ec02c32bf917,IEM Katowice 2025 Play-in
Team A,Team A,42946d021e655086,IEM Katowice 2025 Play-in
Team B,Team B,42946d021e655086,IEM Katowice 2025 Play-in
Astralis,Team A,7b1ba9b6e721b66e,IEM Katowice 2025 Play-in
FlyQuest,Team B,7b1ba9b6e721b66e,IEM Katowice 2025 Play-in
Team A,Team A,51bc12af9ae45411,IEM Katowice 2025 Play-in
Team B,Team B,51bc12af9ae45411,IEM Katowice 2025 Play-in
Team A,Team A,d185d613a8ea4fc9,IEM Katowice 2025 Play-in
Team B,Team B,d185d613a8ea4fc9,IEM Katowice 2025 Play-in
FlyQuest,Team A,c39d8c39a8021aa0,IEM Katowice 2025 Play-in
Astralis,Team B,c39d8c39a8021aa0,IEM Katowice 2025 Play-in
Team A,Team A,6a3336f2505564e3,IEM Katowice 2025 Play-in
Team B,Team B,6a3336f2505564e3,IEM Katowice 2025 Play-in
Team A,Team A,b5500bd51a9f996b,IEM Katowice 2025 Play-in
Team B,Team B,b5500bd51a9f996b,IEM Katowice 2025 Play-in
Team A,Team A,27006799e54e274f,IEM Katowice 2025 Play-in
Team B,Team B,27006799e54e274f,IEM Katowice 2025 Play-in
Team A,Team A,6ef292ed1ac32c41,IEM Katowice 2025 Play-in
Team B,Team B,6ef292ed1ac32c41,IEM Katowice 2025 Play-in
Team A,Team A,2e87cbcb4590cc62,IEM Katowice 2025 Play-in
Team B,Team B,2e87cbcb4590cc62,IEM Katowice 2025 Play-in
Team A,Team A,2cdde6ece4c31865,IEM Katowice 2025 Play-in
Team B,Team B,2cdde6ece4c31865,IEM Katowice 2025 Play-in
Team A,Team A,739a6277108d6f14,IEM Katowice 2025 Play-in
Team B,Team B,739a6277108d6f14,IEM Katowice 2025 Play-in
Team A,Team A,b94a4b5a4eff365a,IEM Katowice 2025 Play-in
Team B,Team B,b94a4b5a4eff365a,IEM Katowice 2025 Play-in
Team A,Team A,2e4c30c44c381f4a,IEM Katowice 2025 Play-in
Team B,Team B,2e4c30c44c381f4a,IEM Katowice 2025 Play-in
paiN Gaming,Team A,56156d57e4f26bd4,IEM Katowice 2025 Play-in
GamerLegion,Team B,56156d57e4f26bd4,IEM Katowice 2025 Play-in
Team A,Team A,793d2f5ca174881a,IEM Katowice 2025 Play-in
Team B,Team B,793d2f5ca174881a,IEM Katowice 2025 Play-in
Team A,Team A,a9fedde9b99c606b,IEM Katowice 2025 Play-in
Team B,Team B,a9fedde9b99c606b,IEM Katowice 2025 Play-in
Team A,Team A,795130c6663b9062,IEM Katowice 2025 Play-in
Team B,Team B,795130c6663b9062,IEM Katowice 2025 Play-in
GamerLegion,Team A,974f707b47a12411,IEM Katowice 2025 Play-in
SAW,Team B,974f707b47a12411,IEM Katowice 2025 Play-in
GamerLegion,Team A,dbddb4f7c8f66c15,IEM Katowice 2025 Play-in
SAW,Team B,dbddb4f7c8f66c15,IEM Katowice 2025 Play-in
GamerLegion,Team A,524c22e996af05d8,IEM Katowice 2025 Play-in
SAW,Team B,524c22e996af05d8,IEM Katowice 2025 Play-in
Team A,Team A,21e8fb23cd6fbd3c,IEM Katowice 2025 Play-in
Team B,Team B,21e8fb23cd6fbd3c,IEM Katowice 2025 Play-in
Team A,Team A,5bf3360f6d134a54,IEM Katowice 2025 Play-in
Team B,Team B,5bf3360f6d134a54,IEM Katowice 2025 Play-in
Team A,Team A,7daded92331b1937,IEM Katowice 2025 Play-in
Team B,Team B,7daded92331b1937,IEM Katowice 2025 Play-in
Team A,Team A,ef753259c87d4591,IEM Katowice 2025 Play-in
Team B,Team B,ef753259c87d4591,IEM Katowice 2025 Play-in
Team A,Team A,2d16c1abd0c120e1,IEM Katowice 2025 Play-in
