won,steamid,name,survived,kill_count,match_checksum,tournament
0,76561199063238565,magixx,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198812513923,Wicadia,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,2,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
1,76561198081484775,sh1ro,1,2,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
1,76561198083485506,woxic,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198995880877,zont1x,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198995880877,zont1x,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198386265483,donk,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
1,76561198083485506,woxic,1,2,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198386265483,donk,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,3,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
0,76561198045898864,chopper,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,1,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198812513923,Wicadia,0,2,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,1,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198812513923,Wicadia,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198386265483,donk,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
1,76561197967432889,MAJ3R,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198386265483,donk,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
1,76561198995880877,zont1x,1,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
1,76561198083485506,woxic,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,2,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
1,76561198045898864,chopper,1,1,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,1,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,1,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,1,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
1,76561198995880877,zont1x,1,1,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,1,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561199063238565,magixx,1,2,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,1,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
1,76561198995880877,zont1x,0,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198995880877,zont1x,0,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
1,76561198083485506,woxic,1,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561197967432889,MAJ3R,0,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
1,76561198081484775,sh1ro,1,3,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198044118796,XANTARES,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,1,2,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198410750263,jottAAA,1,1,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
1,76561198045898864,chopper,1,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198995880877,zont1x,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,1,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198081484775,sh1ro,0,2,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561198083485506,woxic,0,2,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
0,76561197982141573,Snax,0,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198372023214,Magnojez,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
1,76561197982141573,Snax,0,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198167785069,s1ren,1,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198372023214,Magnojez,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198059714128,nafany,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198372023214,Magnojez,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198068002993,HeavyGod,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198372023214,Magnojez,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198059714128,nafany,0,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198059714128,nafany,0,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
1,76561198074762801,m0NESY,1,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198045433304,Ax1Le,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198167785069,s1ren,0,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198059714128,nafany,0,1,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
0,76561198167785069,s1ren,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
0,76561198045433304,Ax1Le,0,1,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
