frame,tick,round,opponents,player_side,won,steamid,name,survived,kill_count,checksum
10733,8213,1,2,3,0,76561199063238565,magixx,0,0,73ebc2487132b57f
20049,15618,2,5,3,0,76561198386265483,donk,0,0,73ebc2487132b57f
29656,23304,3,2,3,1,76561199063238565,magixx,1,2,73ebc2487132b57f
29800,23424,3,1,2,0,76561199430871803,cobrazera,0,0,73ebc2487132b57f
36122,28278,4,3,3,0,76561198995880877,zont1x,1,1,73ebc2487132b57f
53120,41698,5,3,2,0,76561198441362330,Bart4k,0,0,73ebc2487132b57f
60650,47605,6,2,2,0,76561198441362330,Bart4k,0,1,73ebc2487132b57f
60788,47733,6,1,3,1,76561199063238565,magixx,1,1,73ebc2487132b57f
69146,54306,7,3,2,0,76561198128463598,nin9,0,1,73ebc2487132b57f
82293,64576,8,2,2,1,76561198128463598,nin9,1,2,73ebc2487132b57f
82329,64612,8,1,3,0,76561199063238565,magixx,0,0,73ebc2487132b57f
89912,70418,9,2,3,0,76561198995880877,zont1x,0,0,73ebc2487132b57f
94445,73820,10,5,3,0,76561198386265483,donk,0,2,73ebc2487132b57f
103856,81181,11,3,2,0,76561198128463598,nin9,0,1,73ebc2487132b57f
112228,87578,12,3,2,1,76561198128463598,nin9,1,3,73ebc2487132b57f
112526,87847,12,1,3,0,76561198081484775,sh1ro,0,0,73ebc2487132b57f
134532,105595,13,5,3,0,76561198831275747,Veccil,0,1,73ebc2487132b57f
145281,114404,14,3,3,0,76561199430871803,cobrazera,0,0,73ebc2487132b57f
151237,118825,15,4,3,0,76561198441362330,Bart4k,0,0,73ebc2487132b57f
164670,129313,16,4,3,0,76561198128463598,nin9,0,0,73ebc2487132b57f
172998,135832,17,4,3,0,76561198441362330,Bart4k,0,0,73ebc2487132b57f
182933,143717,18,4,2,0,76561198081484775,sh1ro,0,1,73ebc2487132b57f
192684,151259,19,4,3,0,76561198135998371,yAmi,0,0,73ebc2487132b57f
207684,162979,20,3,3,0,76561199430871803,cobrazera,0,0,73ebc2487132b57f
214277,168053,21,5,3,0,76561198441362330,Bart4k,0,0,73ebc2487132b57f
14783,11709,1,4,2,0,76561198081484775,sh1ro,0,0,f84ce6cea7bfec37
25737,20633,2,3,3,0,76561198128463598,nin9,0,0,f84ce6cea7bfec37
34503,27703,3,3,3,0,76561198441362330,Bart4k,0,0,f84ce6cea7bfec37
39219,31281,4,5,3,0,76561198128463598,nin9,0,0,f84ce6cea7bfec37
63681,51022,6,2,3,0,76561198135998371,yAmi,0,1,f84ce6cea7bfec37
64059,51353,6,1,2,1,76561198081484775,sh1ro,1,1,f84ce6cea7bfec37
78858,63440,7,2,3,0,76561198128463598,nin9,0,0,f84ce6cea7bfec37
85033,68357,8,4,3,0,76561198831275747,Veccil,0,1,f84ce6cea7bfec37
103322,82966,9,2,3,0,76561198128463598,nin9,0,0,f84ce6cea7bfec37
108597,87099,10,5,3,0,76561199430871803,cobrazera,0,0,f84ce6cea7bfec37
114809,91619,11,3,3,0,76561198135998371,yAmi,1,1,f84ce6cea7bfec37
127711,101604,12,5,3,0,76561198441362330,Bart4k,0,0,f84ce6cea7bfec37
150636,119888,13,4,2,0,76561199430871803,cobrazera,0,0,f84ce6cea7bfec37
161843,129084,14,4,2,1,76561198128463598,nin9,1,4,f84ce6cea7bfec37
162195,129400,14,1,3,0,76561198081484775,sh1ro,0,0,f84ce6cea7bfec37
171318,136784,15,4,3,0,76561198081484775,sh1ro,0,2,f84ce6cea7bfec37
172243,137598,15,1,2,1,76561198128463598,nin9,1,1,f84ce6cea7bfec37
176059,140892,16,3,3,0,76561199063238565,magixx,0,0,f84ce6cea7bfec37
186166,148868,17,4,2,0,76561198441362330,Bart4k,0,0,f84ce6cea7bfec37
20187,16294,1,2,2,0,76561198057282432,kyxsan,0,0,2dd0dab3d12aa679
30402,24566,2,3,2,0,76561198799340122,degster,0,0,2dd0dab3d12aa679
51014,40995,4,4,3,0,76561198855375325,Jimpphat,0,0,2dd0dab3d12aa679
61623,49744,5,5,3,0,76561198355739212,torzsi,0,0,2dd0dab3d12aa679
69269,55707,6,3,2,0,76561198799340122,degster,0,0,2dd0dab3d12aa679
81658,65843,7,2,2,0,76561198799340122,degster,1,0,2dd0dab3d12aa679
92054,74201,8,4,2,0,76561197983956651,Magisk,1,0,2dd0dab3d12aa679
105223,84692,9,3,3,0,76561198063336407,Spinx,1,1,2dd0dab3d12aa679
