frame,tick,round,opponents,player_side,won,steamid,name,survived,kill_count,checksum
125363,101215,10,2,3,0,76561198138828475,Brollan,1,0,2dd0dab3d12aa679
131434,105899,11,4,3,0,76561198355739212,torzsi,1,0,2dd0dab3d12aa679
148908,120023,12,4,3,0,76561198063336407,Spinx,0,0,2dd0dab3d12aa679
170236,137196,13,5,2,0,76561198855375325,Jimpphat,0,1,2dd0dab3d12aa679
182180,147162,14,5,2,0,76561198063336407,Spinx,0,0,2dd0dab3d12aa679
206438,166802,16,2,3,0,76561198041683378,NiKo,0,1,2dd0dab3d12aa679
206609,166955,16,1,2,1,76561198063336407,Spinx,1,1,2dd0dab3d12aa679
227842,183559,18,5,3,0,76561198799340122,degster,0,0,2dd0dab3d12aa679
243698,196464,19,3,3,0,76561198057282432,kyxsan,1,0,2dd0dab3d12aa679
253457,204301,20,4,3,0,76561198057282432,kyxsan,1,0,2dd0dab3d12aa679
267424,215462,21,2,2,0,76561198355739212,torzsi,1,1,2dd0dab3d12aa679
268616,216501,21,1,3,1,76561198057282432,kyxsan,1,0,2dd0dab3d12aa679
273822,220461,22,3,2,0,76561198063336407,Spinx,0,0,2dd0dab3d12aa679
294839,236669,24,4,3,0,76561198799340122,degster,0,1,2dd0dab3d12aa679
11243,9129,1,4,3,0,76561197996678278,TeSeS,0,0,4da8bb160ec93df9
20947,16810,2,2,3,0,76561198041683378,NiKo,0,0,4da8bb160ec93df9
25934,20516,3,4,3,0,76561198041683378,NiKo,0,0,4da8bb160ec93df9
45249,35937,5,2,3,0,76561197983956651,Magisk,1,0,4da8bb160ec93df9
73288,58604,7,3,2,0,76561198138828475,Brollan,0,1,4da8bb160ec93df9
97352,77619,9,2,2,0,76561198855375325,Jimpphat,0,0,4da8bb160ec93df9
109660,87315,10,3,3,0,76561197996678278,TeSeS,0,1,4da8bb160ec93df9
117975,93795,11,3,2,0,76561198355739212,torzsi,0,2,4da8bb160ec93df9
118530,94286,11,1,3,1,76561198799340122,degster,1,1,4da8bb160ec93df9
128111,101875,12,3,3,0,76561198799340122,degster,0,0,4da8bb160ec93df9
152827,121757,13,2,3,0,76561198355739212,torzsi,0,0,4da8bb160ec93df9
161597,128830,14,5,3,0,76561198063336407,Spinx,1,0,4da8bb160ec93df9
176684,141479,15,2,3,0,76561198855375325,Jimpphat,1,0,4da8bb160ec93df9
176840,141613,15,1,2,1,76561198057282432,kyxsan,1,0,4da8bb160ec93df9
185118,148160,16,3,3,0,76561198193174134,xertioN,0,1,4da8bb160ec93df9
206661,165779,18,4,2,0,76561198799340122,degster,0,1,4da8bb160ec93df9
243246,194428,21,3,2,0,76561198041683378,NiKo,0,0,4da8bb160ec93df9
251272,200582,22,4,2,0,76561197983956651,Magisk,0,0,4da8bb160ec93df9
263642,210151,23,2,2,0,76561197983956651,Magisk,0,0,4da8bb160ec93df9
16235,13694,1,3,3,0,76561197989744167,apEX,0,0,ea29a1b7c3d3dde3
31943,26350,3,5,2,0,76561198004115516,cadiaN,0,0,ea29a1b7c3d3dde3
40129,32786,4,4,2,0,76561198022365638,stavn,0,0,ea29a1b7c3d3dde3
50863,41729,5,4,2,0,76561198022365638,stavn,0,0,ea29a1b7c3d3dde3
59036,48086,6,2,2,1,76561198005107817,Staehr,1,2,ea29a1b7c3d3dde3
60091,49019,6,1,3,0,76561198113666193,ZywOo,0,0,ea29a1b7c3d3dde3
86088,69916,8,3,2,0,76561198005107817,Staehr,0,0,ea29a1b7c3d3dde3
95428,77347,9,5,2,0,76561198022365638,stavn,0,0,ea29a1b7c3d3dde3
100425,81208,10,4,2,0,76561198120557348,jabbi,0,2,ea29a1b7c3d3dde3
102576,83080,10,1,3,1,76561198113666193,ZywOo,1,1,ea29a1b7c3d3dde3
113107,91757,11,4,2,0,76561198004115516,cadiaN,0,1,ea29a1b7c3d3dde3
126449,102245,12,4,2,0,76561198022365638,stavn,0,0,ea29a1b7c3d3dde3
146451,119036,13,3,2,0,76561197991272318,ropz,0,0,ea29a1b7c3d3dde3
165321,134324,15,3,3,0,76561198005107817,Staehr,1,0,ea29a1b7c3d3dde3
189962,154364,17,2,3,0,76561198004115516,cadiaN,0,1,ea29a1b7c3d3dde3
189977,154377,17,1,2,1,76561197973140692,mezii,1,1,ea29a1b7c3d3dde3
14983,12622,1,3,3,0,76561198022365638,stavn,0,0,1c9bb7de6330bf76
24453,20297,2,5,3,0,76561198022365638,stavn,0,1,1c9bb7de6330bf76
32821,27099,3,5,3,0,76561197987713664,dev1ce,0,1,1c9bb7de6330bf76
42808,35003,4,3,2,0,76561198113666193,ZywOo,0,1,1c9bb7de6330bf76
53658,43768,5,5,2,0,76561197973140692,mezii,0,0,1c9bb7de6330bf76
63793,51958,6,2,3,1,76561198005107817,Staehr,1,2,1c9bb7de6330bf76
66044,53956,6,1,2,0,76561197973140692,mezii,0,0,1c9bb7de6330bf76
105094,85789,9,2,3,0,76561198004115516,cadiaN,1,0,1c9bb7de6330bf76
113006,92349,10,4,3,0,76561198120557348,jabbi,0,2,1c9bb7de6330bf76
120947,98611,11,3,2,0,76561197991272318,ropz,0,0,1c9bb7de6330bf76
128169,104173,12,3,2,0,76561197973140692,mezii,0,1,1c9bb7de6330bf76
147525,120091,13,4,3,0,76561197973140692,mezii,0,1,1c9bb7de6330bf76
158155,128903,14,3,2,0,76561198022365638,stavn,0,1,1c9bb7de6330bf76
164502,134004,15,4,2,0,76561198004115516,cadiaN,0,0,1c9bb7de6330bf76
169859,138263,16,5,2,0,76561198022365638,stavn,0,0,1c9bb7de6330bf76
175723,142774,17,3,2,0,76561198022365638,stavn,0,0,1c9bb7de6330bf76
188721,152978,18,5,2,0,76561198120557348,jabbi,0,0,1c9bb7de6330bf76
200169,162020,19,2,2,0,76561198005107817,Staehr,0,1,1c9bb7de6330bf76
200396,162221,19,1,3,1,76561197973140692,mezii,1,1,1c9bb7de6330bf76
11320,9254,1,3,2,0,76561197997351207,rain,0,1,dc6893705a5c5d9
20131,16362,2,2,3,0,76561197995817501,FL1T,0,0,dc6893705a5c5d9
52912,42646,5,4,2,0,76561198201620490,broky,0,0,dc6893705a5c5d9
72733,58499,7,2,3,0,76561198080114546,fame,1,0,dc6893705a5c5d9
73519,59184,7,1,2,0,76561198068422762,frozen,0,0,dc6893705a5c5d9
73519,59184,7,1,2,1,76561198201620490,broky,1,0,dc6893705a5c5d9
92183,74018,9,3,2,1,76561198066693739,EliGE,1,3,dc6893705a5c5d9
93268,74968,9,1,3,0,76561197995817501,FL1T,0,0,dc6893705a5c5d9
106799,85473,10,2,3,0,76561198080114546,fame,1,0,dc6893705a5c5d9
116231,93197,11,3,2,0,76561198066693739,EliGE,0,1,dc6893705a5c5d9
127342,102199,12,2,3,1,76561198055109028,ICY,1,2,dc6893705a5c5d9
127632,102458,12,1,2,0,76561198068422762,frozen,0,0,dc6893705a5c5d9
151084,121133,13,3,3,0,76561198068422762,frozen,0,0,dc6893705a5c5d9
157078,126015,14,4,3,0,76561197997351207,rain,0,0,dc6893705a5c5d9
188878,151638,17,4,2,0,76561198044045107,electronic,0,0,dc6893705a5c5d9
220438,176672,19,2,3,0,76561197997351207,rain,0,0,dc6893705a5c5d9
227860,182505,20,3,2,0,76561197995817501,FL1T,0,0,dc6893705a5c5d9
253982,203340,22,3,2,0,76561198044045107,electronic,1,0,dc6893705a5c5d9
268754,215489,23,2,3,0,76561197989430253,karrigan,0,0,dc6893705a5c5d9
276978,222054,24,3,2,0,76561198044045107,electronic,0,1,dc6893705a5c5d9
287629,230539,25,2,2,0,76561198014259134,FL4MUS,0,0,dc6893705a5c5d9
299376,239838,26,2,2,0,76561197995817501,FL1T,0,0,dc6893705a5c5d9
309702,248152,27,3,2,0,76561198080114546,fame,0,0,dc6893705a5c5d9
321799,257875,28,4,3,0,76561198044045107,electronic,0,0,dc6893705a5c5d9
23711,18913,1,2,2,1,76561198066693739,EliGE,0,1,1a5315532c76cdf0
24165,19318,1,1,3,0,76561198044045107,electronic,0,1,1a5315532c76cdf0
33409,26812,2,4,3,0,76561198055109028,ICY,0,0,1a5315532c76cdf0
38957,31150,3,4,3,0,76561197995817501,FL1T,0,1,1a5315532c76cdf0
48088,38435,4,4,2,0,76561198068422762,frozen,0,0,1a5315532c76cdf0
54798,43574,5,4,2,0,76561198201620490,broky,0,1,1a5315532c76cdf0
63517,50581,6,2,3,1,76561198055109028,ICY,1,2,1a5315532c76cdf0
63812,50845,6,1,2,0,76561197997351207,rain,0,0,1a5315532c76cdf0
71384,56784,7,4,2,0,76561198201620490,broky,0,1,1a5315532c76cdf0
81201,64639,8,4,2,0,76561198068422762,frozen,0,0,1a5315532c76cdf0
104103,83082,10,3,3,0,76561198080114546,fame,0,1,1a5315532c76cdf0
113763,90751,11,2,3,0,76561198014259134,FL4MUS,0,1,1a5315532c76cdf0
114515,91420,11,1,2,1,76561198201620490,broky,1,1,1a5315532c76cdf0
125797,100537,12,2,2,0,76561198066693739,EliGE,0,0,1a5315532c76cdf0
147004,117514,13,4,2,0,76561197995817501,FL1T,1,1,1a5315532c76cdf0
155552,124326,14,2,3,0,76561197997351207,rain,0,0,1a5315532c76cdf0
185509,148929,17,2,2,0,76561198044045107,electronic,0,1,1a5315532c76cdf0
185878,149253,17,1,3,1,76561198201620490,broky,1,1,1a5315532c76cdf0
194919,156419,18,3,3,0,76561198201620490,broky,0,1,1a5315532c76cdf0
202925,163012,19,5,3,0,76561197997351207,rain,0,3,1a5315532c76cdf0
215551,173075,20,3,2,0,76561197995817501,FL1T,0,0,1a5315532c76cdf0
223247,179236,21,4,2,0,76561198055109028,ICY,0,0,1a5315532c76cdf0
232184,186505,22,4,2,0,76561197995817501,FL1T,0,1,1a5315532c76cdf0
247251,198532,23,3,2,0,76561198080114546,fame,0,0,1a5315532c76cdf0
256368,205933,24,5,3,0,76561198201620490,broky,0,0,1a5315532c76cdf0
264847,212778,25,4,2,0,76561198044045107,electronic,0,0,1a5315532c76cdf0
272117,218305,26,4,3,0,76561198068422762,frozen,0,1,1a5315532c76cdf0
280260,224726,27,2,3,0,76561198066693739,EliGE,0,1,1a5315532c76cdf0
280536,224969,27,1,2,1,76561198014259134,FL4MUS,0,1,1a5315532c76cdf0
289085,231580,28,3,2,0,76561198201620490,broky,0,0,1a5315532c76cdf0
303273,242477,29,5,2,0,76561198068422762,frozen,0,1,1a5315532c76cdf0
3297,2920,1,3,2,0,76561198080114546,fame,0,2,4549b648175e0ed2
3569,3172,1,1,3,1,76561198201620490,broky,1,1,4549b648175e0ed2
24516,20649,3,4,3,0,76561198201620490,broky,0,0,4549b648175e0ed2
46694,38689,5,4,3,0,76561198068422762,frozen,0,1,4549b648175e0ed2
60680,50196,6,2,3,0,76561197989430253,karrigan,1,0,4549b648175e0ed2
88811,72782,8,2,2,1,76561198055109028,ICY,1,1,4549b648175e0ed2
88907,72867,8,1,3,0,76561198066693739,EliGE,1,0,4549b648175e0ed2
96955,79271,9,3,2,1,76561197995817501,FL1T,1,3,4549b648175e0ed2
98218,80388,9,1,3,0,76561198068422762,frozen,0,0,4549b648175e0ed2
107117,87343,10,4,3,0,76561197997351207,rain,0,0,4549b648175e0ed2
117081,95428,11,2,3,0,76561197997351207,rain,0,0,4549b648175e0ed2
125218,102174,12,3,2,1,76561198044045107,electronic,0,2,4549b648175e0ed2
127517,104308,12,1,3,0,76561198068422762,frozen,1,1,4549b648175e0ed2
138526,113340,13,3,3,0,76561197997351207,rain,0,0,4549b648175e0ed2
148798,121484,14,2,3,0,76561198068422762,frozen,0,0,4549b648175e0ed2
171334,139404,15,4,2,0,76561197997351207,rain,0,0,4549b648175e0ed2
13801,11586,1,3,3,0,76561198068002993,HeavyGod,0,0,c7a029f641392a32
21348,17659,2,4,3,0,76561198068002993,HeavyGod,0,0,c7a029f641392a32
32577,26996,3,3,3,0,76561198012872053,huNter,1,1,c7a029f641392a32
87924,73053,5,2,3,0,76561198012872053,huNter,1,0,c7a029f641392a32
107768,89677,6,2,2,0,76561198365118288,try,0,1,c7a029f641392a32
108208,90069,6,1,3,1,76561198012872053,huNter,1,1,c7a029f641392a32
120311,99808,7,5,2,0,76561198365118288,try,0,1,c7a029f641392a32
129153,107003,8,4,2,0,76561198365118288,try,0,1,c7a029f641392a32
140859,116534,9,3,2,0,76561198251931752,chayJESUS,1,0,c7a029f641392a32
152037,125537,10,2,2,0,76561198307171910,decenty,0,0,c7a029f641392a32
162279,133871,11,3,2,0,76561198365118288,try,0,1,c7a029f641392a32
171986,141603,12,4,3,0,76561198074762801,m0NESY,0,1,c7a029f641392a32
173014,142506,12,1,2,0,76561197996370184,VINI,0,0,c7a029f641392a32
173014,142506,12,1,2,1,76561198251931752,chayJESUS,1,0,c7a029f641392a32
192877,159114,13,3,3,0,76561198251931752,chayJESUS,0,2,c7a029f641392a32
195486,161442,13,1,2,1,76561198012872053,huNter,0,0,c7a029f641392a32
216591,178755,15,3,2,1,76561198012872053,huNter,1,3,c7a029f641392a32
216932,179055,15,1,3,0,76561198307171910,decenty,0,0,c7a029f641392a32
222454,183362,16,5,2,0,76561198068002993,HeavyGod,1,2,c7a029f641392a32
238615,196736,17,2,2,0,76561198080703143,malbsMd,0,0,c7a029f641392a32
251670,207910,18,2,2,1,76561198012872053,huNter,1,2,c7a029f641392a32
252227,208443,18,1,3,0,76561198800209567,noway,0,0,c7a029f641392a32
276257,227958,20,4,3,0,76561198307171910,decenty,0,1,c7a029f641392a32
284385,234431,21,4,3,0,76561198307171910,decenty,0,1,c7a029f641392a32
12271,10453,1,2,2,0,76561198012872053,huNter,1,2,cd57625ad64643a9
17343,15000,1,1,3,1,76561198365118288,try,0,0,cd57625ad64643a9
25802,21935,2,3,3,0,76561198800209567,noway,0,0,cd57625ad64643a9
31075,26051,3,3,2,0,76561198068002993,HeavyGod,0,0,cd57625ad64643a9
43784,36351,4,5,2,0,76561198068002993,HeavyGod,0,0,cd57625ad64643a9
50927,41903,5,4,2,0,76561197982141573,Snax,0,0,cd57625ad64643a9
63098,51695,6,2,3,0,76561198307171910,decenty,0,0,cd57625ad64643a9
82072,67112,8,3,2,0,76561198080703143,malbsMd,0,0,cd57625ad64643a9
95641,77983,9,2,3,0,76561197996370184,VINI,1,0,cd57625ad64643a9
103432,84263,10,3,3,0,76561198251931752,chayJESUS,1,0,cd57625ad64643a9
127076,103572,12,2,3,0,76561198365118288,try,0,0,cd57625ad64643a9
150768,123658,13,2,3,0,76561198068002993,HeavyGod,1,2,cd57625ad64643a9
150802,123688,13,1,2,1,76561198251931752,chayJESUS,0,0,cd57625ad64643a9
203663,166945,17,3,2,1,76561198365118288,try,1,3,cd57625ad64643a9
204200,167420,17,1,3,0,76561198068002993,HeavyGod,0,0,cd57625ad64643a9
218572,178799,18,3,2,0,76561198800209567,noway,0,0,cd57625ad64643a9
228626,186797,19,4,2,0,76561198307171910,decenty,0,0,cd57625ad64643a9
235286,192183,20,4,2,0,76561198307171910,decenty,0,0,cd57625ad64643a9
247476,202271,21,2,3,0,76561197982141573,Snax,0,1,cd57625ad64643a9
248239,202979,21,1,2,1,76561198307171910,decenty,1,1,cd57625ad64643a9
258366,211117,22,5,2,0,76561198800209567,noway,0,0,cd57625ad64643a9
263337,214865,23,5,2,0,76561197996370184,VINI,0,1,cd57625ad64643a9
273855,223215,24,3,2,0,76561198307171910,decenty,0,0,cd57625ad64643a9
10782,8748,1,3,2,0,76561198283989223,ultimate,0,0,4d45acef48637b70
16427,13341,2,5,2,0,76561198016255205,Twistzz,0,0,4d45acef48637b70
25132,20319,3,4,3,0,76561198083485506,woxic,0,0,4d45acef48637b70
33030,26639,4,4,2,0,76561198283989223,ultimate,0,2,4d45acef48637b70
59476,48233,6,4,3,0,76561198044118796,XANTARES,1,0,4d45acef48637b70
68872,56012,7,3,3,0,76561197967432889,MAJ3R,0,0,4d45acef48637b70
81840,66443,8,4,2,0,76561197977105184,jks,0,0,4d45acef48637b70
90142,73091,9,5,2,0,76561197977105184,jks,0,0,4d45acef48637b70
98856,80161,10,3,3,0,76561197967432889,MAJ3R,0,0,4d45acef48637b70
115957,94066,12,4,2,0,76561197977105184,jks,0,0,4d45acef48637b70
138189,112523,13,4,2,0,76561198083485506,woxic,0,1,4d45acef48637b70
147845,120405,14,3,2,1,76561197967432889,MAJ3R,0,2,4d45acef48637b70
148240,120756,14,1,3,0,76561198053126645,NertZ,1,1,4d45acef48637b70
161566,131956,15,3,2,1,76561198044118796,XANTARES,1,0,4d45acef48637b70
174566,142372,16,2,3,0,76561197977105184,jks,0,0,4d45acef48637b70
179644,146383,17,5,3,0,76561198016255205,Twistzz,0,1,4d45acef48637b70
202201,164410,19,3,2,0,76561197967432889,MAJ3R,0,1,4d45acef48637b70
212953,173177,20,2,2,1,76561198083485506,woxic,1,2,4d45acef48637b70
213138,173342,20,1,3,0,76561198001151695,NAF-FLY,0,0,4d45acef48637b70
8927,7268,1,4,2,0,76561198053126645,NertZ,0,0,5abe60055bc55f9f
16452,13429,2,3,3,0,76561198083485506,woxic,0,1,5abe60055bc55f9f
27142,22349,3,3,2,0,76561198283989223,ultimate,0,0,5abe60055bc55f9f
37403,30782,4,4,2,0,76561197977105184,jks,0,0,5abe60055bc55f9f
45283,37225,5,4,2,0,76561198016255205,Twistzz,0,0,5abe60055bc55f9f
51068,41702,6,4,3,0,76561198812513923,Wicadia,1,0,5abe60055bc55f9f
65442,53602,7,4,2,0,76561198283989223,ultimate,1,1,5abe60055bc55f9f
79219,64630,8,2,2,0,76561198283989223,ultimate,0,0,5abe60055bc55f9f
90017,73393,9,5,2,0,76561197977105184,jks,0,0,5abe60055bc55f9f
99419,80891,10,3,3,0,76561198083485506,woxic,1,0,5abe60055bc55f9f
113391,92619,11,3,2,0,76561198001151695,NAF-FLY,0,0,5abe60055bc55f9f
125965,102721,12,3,3,0,76561198812513923,Wicadia,0,0,5abe60055bc55f9f
148668,121089,13,5,3,0,76561197977105184,jks,0,0,5abe60055bc55f9f
158574,129334,14,5,3,0,76561198283989223,ultimate,0,0,5abe60055bc55f9f
168849,137794,15,3,2,1,76561197967432889,MAJ3R,1,3,5abe60055bc55f9f
169852,138683,15,1,3,0,76561197977105184,jks,0,0,5abe60055bc55f9f
183472,149638,16,3,2,0,76561198410750263,jottAAA,1,0,5abe60055bc55f9f
194717,158810,17,5,2,0,76561198083485506,woxic,0,2,5abe60055bc55f9f
204167,166409,18,5,2,0,76561198083485506,woxic,0,0,5abe60055bc55f9f
213150,173746,19,3,3,0,76561198053126645,NertZ,0,0,5abe60055bc55f9f
223470,182070,20,3,3,0,76561198016255205,Twistzz,0,1,5abe60055bc55f9f
13339,11018,1,5,2,0,76561198050250233,iM,0,1,d661064df8909600
23234,19266,2,5,2,0,76561198013243326,Aleksib,0,0,d661064df8909600
60922,50495,5,4,3,0,76561197960690195,FalleN,1,0,d661064df8909600
71797,59306,6,4,3,0,76561198058500492,KSCERATO,0,1,d661064df8909600
101002,83397,8,5,3,0,76561197960690195,FalleN,1,0,d661064df8909600
112107,92467,9,4,2,0,76561198013243326,Aleksib,0,0,d661064df8909600
121944,100464,10,2,3,0,76561197960690195,FalleN,1,1,d661064df8909600
124815,103023,10,1,2,1,76561198246607476,b1t,1,0,d661064df8909600
137366,113236,11,3,2,0,76561199063068840,w0nderful,0,0,d661064df8909600
152134,125274,12,2,2,1,76561198176878303,jL,0,0,d661064df8909600
174373,144031,13,4,3,0,76561198246607476,b1t,0,0,d661064df8909600
182360,150731,14,3,2,0,76561198067763828,chelo,0,0,d661064df8909600
189138,156085,15,2,3,0,76561198246607476,b1t,0,0,d661064df8909600
198597,163716,16,2,3,0,76561198013243326,Aleksib,0,1,d661064df8909600
199633,164633,16,1,2,1,76561197960690195,FalleN,1,1,d661064df8909600
209020,172318,17,5,3,0,76561198013243326,Aleksib,0,0,d661064df8909600
221688,182271,18,2,3,0,76561198013243326,Aleksib,0,0,d661064df8909600
274419,225330,22,4,2,0,76561198164970560,yuurih,0,1,d661064df8909600
288990,237146,23,3,2,0,76561198058500492,KSCERATO,0,0,d661064df8909600
297912,244179,24,2,3,0,76561198050250233,iM,0,0,d661064df8909600
310366,254436,25,2,2,0,76561198067763828,chelo,0,0,d661064df8909600
317148,259693,26,4,2,0,76561197960690195,FalleN,0,0,d661064df8909600
326836,267534,27,3,2,0,76561198058500492,KSCERATO,0,0,d661064df8909600
341979,279785,28,3,3,0,76561198058500492,KSCERATO,0,0,d661064df8909600
11963,9971,1,4,3,0,76561198058500492,KSCERATO,1,0,f4b326e7f1112e06
20745,17239,2,3,2,1,76561198050250233,iM,0,2,f4b326e7f1112e06
21454,17859,2,1,3,0,76561198164970560,yuurih,1,1,f4b326e7f1112e06
33733,28116,3,4,3,0,76561198164970560,yuurih,1,1,f4b326e7f1112e06
43619,36173,4,2,2,1,76561199063068840,w0nderful,1,1,f4b326e7f1112e06
43772,36311,4,1,3,0,76561198058500492,KSCERATO,1,0,f4b326e7f1112e06
54575,45201,5,2,3,0,76561198118646644,skullz,0,1,f4b326e7f1112e06
56144,46564,5,1,2,1,76561198176878303,jL,1,0,f4b326e7f1112e06
64322,53078,6,2,2,1,76561198176878303,jL,1,2,f4b326e7f1112e06
64447,53189,6,1,3,0,76561198118646644,skullz,0,0,f4b326e7f1112e06
72738,59913,7,4,3,0,76561198067763828,chelo,0,0,f4b326e7f1112e06
84377,69274,8,2,3,0,76561198118646644,skullz,1,1,f4b326e7f1112e06
84664,69517,8,1,2,1,76561199063068840,w0nderful,1,0,f4b326e7f1112e06
93083,76254,9,3,2,0,76561198176878303,jL,0,0,f4b326e7f1112e06
106558,87175,10,4,2,0,76561198176878303,jL,0,0,f4b326e7f1112e06
116479,95293,11,5,2,0,76561199063068840,w0nderful,0,0,f4b326e7f1112e06
125473,102588,12,4,2,0,76561198176878303,jL,0,0,f4b326e7f1112e06
147997,120974,13,3,2,0,76561198164970560,yuurih,0,0,f4b326e7f1112e06
154105,125813,14,4,2,0,76561198118646644,skullz,0,2,f4b326e7f1112e06
164971,135006,15,2,2,0,76561197960690195,FalleN,0,0,f4b326e7f1112e06
172544,141045,16,4,3,0,76561199063068840,w0nderful,0,0,f4b326e7f1112e06
181013,147977,17,3,3,0,76561198176878303,jL,0,0,f4b326e7f1112e06
186316,152237,18,3,3,0,76561198246607476,b1t,0,0,f4b326e7f1112e06
212529,173950,20,2,2,0,76561198164970560,yuurih,0,1,f4b326e7f1112e06
212965,174337,20,1,3,1,76561198013243326,Aleksib,1,1,f4b326e7f1112e06
226373,185364,21,3,2,0,76561198067763828,chelo,0,1,f4b326e7f1112e06
6083,5065,1,2,2,0,76561198441362330,Bart4k,0,1,c70cbae80af81df9
6181,5153,1,1,3,1,76561198041683378,NiKo,1,1,c70cbae80af81df9
13400,10884,2,3,3,0,76561197983956651,Magisk,1,0,c70cbae80af81df9
43258,35746,4,4,3,0,76561198057282432,kyxsan,1,0,c70cbae80af81df9
53841,44331,5,3,2,0,76561198831275747,Veccil,1,0,c70cbae80af81df9
63861,52352,6,3,2,0,76561198135998371,yAmi,0,0,c70cbae80af81df9
72799,59557,7,4,2,0,76561198128463598,nin9,0,0,c70cbae80af81df9
88939,72606,8,5,2,0,76561198831275747,Veccil,0,0,c70cbae80af81df9
94170,76407,9,4,2,1,76561198128463598,nin9,1,4,c70cbae80af81df9
