checksum,game,demo_path,demo_name,date,source,type,share_code,map,server_name,client_name,tick_count,tickrate,framerate,game_type,game_mode,game_mode_str,is_ranked,duration,network_protocol,build_number,kill_count,assist_count,death_count,shot_count,winner_name,winner_side,overtime_count,max_rounds,has_vac_live_ban,match_id,unique_name
73ebc2487132b57f,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95438_spirit-vs-the-huns-m1-anubis.dem,E7904_M95438_spirit-vs-the-huns-m1-anubis,2025-03-19,esl,GOTV,,de_anubis,BLAST Bounty CS2 Server,SourceTV Demo,170555,64.0,81.482733,2664.0,14071,10329,0,0,casual,0,150,55,150,3197,Team Spirit,2,0,24,0,95912,E7904_M95438_spirit-vs-the-huns-m1-anubis_blast-open-lisbon-2025
f84ce6cea7bfec37,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95438_spirit-vs-the-huns-m2-dust2.dem,E7904_M95438_spirit-vs-the-huns-m2-dust2,2025-03-19,esl,GOTV,,de_dust2,BLAST Bounty CS2 Server,SourceTV Demo,151675,64.0,79.897425,2369.0,14071,10329,0,0,casual,0,114,42,114,2792,Team Spirit,3,0,24,0,95912,E7904_M95438_spirit-vs-the-huns-m2-dust2_blast-open-lisbon-2025
2dd0dab3d12aa679,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95451_mouz-vs-falcons-m1-train.dem,E7904_M95451_mouz-vs-falcons-m1-train,2025-03-19,esl,GOTV,,de_train,BLAST Bounty CS2 Server,SourceTV Demo,240636,64.0,79.630221,3759.0,14071,10329,0,0,casual,0,136,36,136,2737,MOUZ,2,0,24,0,95912,E7904_M95451_mouz-vs-falcons-m1-train_blast-open-lisbon-2025
4da8bb160ec93df9,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95451_mouz-vs-falcons-m2-ancient.dem,E7904_M95451_mouz-vs-falcons-m2-ancient,2025-03-19,esl,GOTV,,de_ancient,BLAST Bounty CS2 Server,SourceTV Demo,213114,64.0,80.185641,3329.0,14071,10329,0,0,casual,0,146,54,148,3560,MOUZ,3,0,24,0,95912,E7904_M95451_mouz-vs-falcons-m2-ancient_blast-open-lisbon-2025
ea29a1b7c3d3dde3,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95452_vitality-vs-astralis-m1-inferno.dem,E7904_M95452_vitality-vs-astralis-m1-inferno,2025-03-19,esl,GOTV,,de_inferno,BLAST Bounty CS2 Server,SourceTV Demo,156795,64.0,78.661086,2449.0,14071,10329,0,0,casual,0,101,32,101,2926,Vitality,2,0,24,0,95912,E7904_M95452_vitality-vs-astralis-m1-inferno_blast-open-lisbon-2025
1c9bb7de6330bf76,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95452_vitality-vs-astralis-m2-dust2.dem,E7904_M95452_vitality-vs-astralis-m2-dust2,2025-03-19,esl,GOTV,,de_dust2,BLAST Bounty CS2 Server,SourceTV Demo,165434,64.0,78.933824,2584.0,14071,10329,0,0,casual,0,126,54,126,3156,Vitality,3,0,24,0,95912,E7904_M95452_vitality-vs-astralis-m2-dust2_blast-open-lisbon-2025
dc6893705a5c5d9,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95462_faze-vs-virtuspro-m1-anubis.dem,E7904_M95462_faze-vs-virtuspro-m1-anubis,2025-03-19,esl,GOTV,,de_anubis,BLAST Bounty CS2 Server,SourceTV Demo,260475,64.0,79.79012,4069.0,14071,10329,0,0,casual,0,173,46,175,3781,FaZe,2,1,24,0,95912,E7904_M95462_faze-vs-virtuspro-m1-anubis_blast-open-lisbon-2025
1a5315532c76cdf0,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95462_faze-vs-virtuspro-m2-ancient.dem,E7904_M95462_faze-vs-virtuspro-m2-ancient,2025-03-19,esl,GOTV,,de_ancient,BLAST Bounty CS2 Server,SourceTV Demo,245114,64.0,79.970488,3829.0,14071,10329,0,0,casual,0,201,74,207,4646,Virtus.Pro,3,1,24,0,95912,E7904_M95462_faze-vs-virtuspro-m2-ancient_blast-open-lisbon-2025
4549b648175e0ed2,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95462_faze-vs-virtuspro-m3-dust2.dem,E7904_M95462_faze-vs-virtuspro-m3-dust2,2025-03-19,esl,GOTV,,de_dust2,BLAST Bounty CS2 Server,SourceTV Demo,142716,64.0,78.501122,2229.0,14071,10329,0,0,casual,0,97,32,97,1529,Virtus.Pro,3,0,24,0,95912,E7904_M95462_faze-vs-virtuspro-m3-dust2_blast-open-lisbon-2025
c7a029f641392a32,CS2,c:\Projects\cs2-match-and-player-scraper\ExtractAllData\downloads\unpacked_demos\BLAST Open Lisbon 2025\E7904_M95496_g2-vs-imperial-m1-mirage.dem,E7904_M95496_g2-vs-imperial-m1-mirage,2025-03-20,esl,GOTV,,de_mirage,BLAST Bounty CS2 Server,SourceTV Demo,238714,64.0,77.560204,3729.0,14071,10329,0,0,casual,0,144,36,159,3333,G2,2,0,24,0,95912,E7904_M95496_g2-vs-imperial-m1-mirage_blast-open-lisbon-2025
