url,url_event,tournament,nspc_tournament,match_id,match_format,match_date,team_1,team_1_result,team_2,team_2_result,winner,event_id,map,map_n,p,demo_filename,checksum
https://www.hltv.org/matches/2380073/natus-vincere-vs-the-mongolz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95292,Bo3,2025-03-14 14:30:00,Natus Vincere,0,The MongolZ,2,The MongolZ,8292,mirage,m1,,E8292_M95292_natus-vincere-vs-the-mongolz-m1-mirage.dem,68fa1cfdd4b3747
https://www.hltv.org/matches/2380073/natus-vincere-vs-the-mongolz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95292,Bo3,2025-03-14 14:30:00,Natus Vincere,0,The MongolZ,2,The MongolZ,8292,ancient,m2,,E8292_M95292_natus-vincere-vs-the-mongolz-m2-ancient.dem,7f448682ec455e2c
https://www.hltv.org/matches/2380078/mouz-vs-vitality-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95350,Bo5,2025-03-16 13:00:00,MOUZ,0,Vitality,3,Vitality,8292,dust2,m1,,E8292_M95350_mouz-vs-vitality-m1-dust2.dem,eb6031d1ee11ccc4
https://www.hltv.org/matches/2380078/mouz-vs-vitality-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95350,Bo5,2025-03-16 13:00:00,MOUZ,0,Vitality,3,Vitality,8292,nuke,m2,,E8292_M95350_mouz-vs-vitality-m2-nuke.dem,2b607490c0f83891
https://www.hltv.org/matches/2380078/mouz-vs-vitality-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95350,Bo5,2025-03-16 13:00:00,MOUZ,0,Vitality,3,Vitality,8292,inferno,m3,,E8292_M95350_mouz-vs-vitality-m3-inferno.dem,c91ddbbaf4c4e8c6
https://www.hltv.org/matches/2380076/vitality-vs-the-mongolz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95332,Bo3,2025-03-15 16:05:00,Vitality,2,The MongolZ,1,Vitality,8292,anubis,m1,,E8292_M95332_vitality-vs-the-mongolz-m1-anubis.dem,9082f32f4a68fc27
https://www.hltv.org/matches/2380076/vitality-vs-the-mongolz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95332,Bo3,2025-03-15 16:05:00,Vitality,2,The MongolZ,1,Vitality,8292,nuke,m2,,E8292_M95332_vitality-vs-the-mongolz-m2-nuke.dem,735d0a500bf404d5
https://www.hltv.org/matches/2380076/vitality-vs-the-mongolz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95332,Bo3,2025-03-15 16:05:00,Vitality,2,The MongolZ,1,Vitality,8292,inferno,m3,,E8292_M95332_vitality-vs-the-mongolz-m3-inferno.dem,b9dd61888745fb89
https://www.hltv.org/matches/2380077/spirit-vs-mouz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95323,Bo3,2025-03-15 11:45:00,Spirit,1,MOUZ,2,MOUZ,8292,nuke,m1,1,E8292_M95323_spirit-vs-mouz-m1-nuke-p1.dem,fcc0c4ac37d6b2fc
https://www.hltv.org/matches/2380077/spirit-vs-mouz-esl-pro-league-season-21,https://www.hltv.org/results?event=8292,ESL Pro League Season 21,esl-pro-league-season-21,95323,Bo3,2025-03-15 11:45:00,Spirit,1,MOUZ,2,MOUZ,8292,nuke,m1,2,E8292_M95323_spirit-vs-mouz-m1-nuke-p2.dem,8a4fdcacb3fc04ed
